a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,nn39,oo40,pp41,qq42,rr43,ss44,tt45,uu46,vv47,ww48,xx49,yy50,zz51,aaa52,bbb53,ccc54,ddd55,eee66,
boosterpack,,day_4_login_reward,0,,,,,,,0,0,0,0,0,0,0,0,0x44,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8,,,,,,Gold,
boosterpack,,day_4_login_reward_alt,0,,,,,,,0,0,0,0,0,0,0,0,0x87,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11588,,,,,,MTX7,
boosterpack,,day_5_login_reward,0,,,,,,,0,0,0,0,0,0,0,0,0x45,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,9,,,,,,Gold,
boosterpack,,day_5_login_reward_alt,0,,,,,,,0,0,0,0,0,0,0,0,0x88,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11589,,,,,,MTX7,
boosterpack,LUA_MENU_SUPPLY_DROP_LOCKED,sd_locked,0,locked_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x9,,,,0,,1,0,,,,0,,,,1,1,1,1,,,,,,0,0,0,0,,,0,0,10,,,,,,Gold,
boosterpack,LUA_MENU_SUPPLY_DROP,sd_mp,0,supply_drop,,,,,,0,0,0,0,0,0,0,0,0x1,,,,1,,1,0,,,,0,,,,1,1,1,1,,,,,,0,0,0,0,,,0,0,11,,,,,,Gold,
boosterpack,LUA_MENU_MTX3_5_SDAC_CAMO,sd_mp_ac_camo,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x5D,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6256,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX3_5_SDAC_CHARM,sd_mp_ac_charm,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x5C,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6257,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX4_SDAC_EMOTE,sd_mp_ac_emote,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x64,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8264,,,,,,MTX4,
boosterpack,LUA_MENU_MTX3_5_SDAC_EPIC_UNIFORM,sd_mp_ac_epic_uniform,0,epic_bribe,,,,,,0,0,0,0,0,0,0,0,0x5B,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6258,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX4_SDAC_EPIC_WEAPON,sd_mp_ac_epic_weapon,0,epic_bribe,,,,,,0,0,0,0,0,0,0,0,0x66,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8265,,,,,,MTX4,
boosterpack,LUA_MENU_MTX4_SDAC_HELMET,sd_mp_ac_helmet,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x62,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7702,,,,,,MTX4,
boosterpack,LUA_MENU_MTX4_SDAC_HEROIC_WEAPON,sd_mp_ac_heroic_weapon,0,heroic_bribe,,,,,,0,0,0,0,0,0,0,0,0x67,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8266,,,,,,MTX4,
boosterpack,LUA_MENU_MTX5_SDAC_RETICLE,sd_mp_ac_reticle,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6B,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8311,,,,,,MTX5,
boosterpack,LUA_MENU_MTX4_SDAC_UNIFORM,sd_mp_ac_uniform,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x68,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8267,,,,,,MTX4,
boosterpack,LUA_MENU_MTX5_SD_AIR_BRIBE,sd_mp_airborne_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x72,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8312,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_ARMOR_BRIBE,sd_mp_armored_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x73,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8313,,,,,,MTX5,
boosterpack,LUA_MENU_MTX7_SD_CAV_BRIBE,sd_mp_cavalry_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x83,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11553,,,,,,MTX7,
boosterpack,LUA_MENU_MTX4_SD_CHARM_BRIBE,sd_mp_charm_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x60,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7703,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX8_SD_COMM_BRIBE,sd_mp_commando_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x8A,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12473,,,,,,MTX8,
boosterpack,LUA_MENU_MTX8_SD_COVERT_BRIBE,sd_mp_covert_bribe,0,covert_storm_bribe,,,,,,0,0,0,0,0,0,0,0,0x89,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12445,,,,,,MTX8,
boosterpack,LUA_MENU_MTX4_SD_EMOTE_BRIBE,sd_mp_emote_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x63,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8268,,,,,,MTX4,
boosterpack,LUA_MENU_SUPPLY_DROP_EPIC,sd_mp_epic,0,epic_drop,,,,,,0,0,0,0,0,0,0,0,0x49,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,3720,,,,,,TU1,
boosterpack,LUA_MENU_MTX2_SD_EPIC_BRIBE,sd_mp_epic_bribe,0,epic_bribe,,,,,,0,0,0,0,0,0,0,0,0x50,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4952,,,,,,MTX3,
boosterpack,LUA_MENU_MTX4_SD_EPIC_UNIFORM_BRIBE,sd_mp_epic_uniform,0,epic_bribe,,,,,,0,0,0,0,0,0,0,0,0x65,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8269,,,,,,MTX4,
boosterpack,LUA_MENU_MTX3_5_SD_EPIC_WEAPON_BRIBE,sd_mp_epic_weapon,0,epic_bribe,,,,,,0,0,0,0,0,0,0,0,0x56,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6245,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX5_SD_EXPED_BRIBE,sd_mp_expeditionary_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x75,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8314,,,,,,MTX5,
boosterpack,LUA_MENU_MTX9_SD_HLWN_BRIBE,sd_mp_halloween,0,halloween_scream_bribe,,,,,,0,0,0,0,0,0,0,0,0x8C,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12986,,,,,,MTX9,
boosterpack,LUA_MENU_MTX4_SD_HELMET_BRIBE,sd_mp_helmet_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x61,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7704,,,,,,MTX3_5,
boosterpack,LUA_MENU_SUPPLY_DROP_HEROIC,sd_mp_heroic,0,heroic_bribe,,,,,,0,0,0,0,0,0,0,0,0x46,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12,,,,,,Gold,
boosterpack,LUA_MENU_MTX3_SD_HEROIC_UNIFORM_BRIBE,sd_mp_heroic_uniform,0,heroic_bribe,,,,,,0,0,0,0,0,0,0,0,0x53,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,5069,,,,,,MTX3,
boosterpack,LUA_MENU_MTX3_SD_HEROIC_WEAPON_BRIBE,sd_mp_heroic_weapon,0,heroic_bribe,,,,,,0,0,0,0,0,0,0,0,0x54,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,5362,,,,,,MTX3,
boosterpack,LUA_MENU_MTX5_SD_INF_BRIBE,sd_mp_infantry_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x71,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8315,,,,,,MTX5,
boosterpack,LUA_MENU_SUPPLY_DROP_LEGENDARY,sd_mp_legendary,0,legendary_drop,,,,,,0,0,0,0,0,0,0,0,0x4A,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,3721,,,,,,TU1,
boosterpack,LUA_MENU_MTX6_SD_LIBERTY_BRIBE,sd_mp_liberty_bribe,0,liberty_strike_bribe,,,,,,0,0,0,0,0,0,0,0,0x7B,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,10701,,,,,,MTX6,
boosterpack,LUA_MENU_MTX6_SD_LIBERTY_HELM,sd_mp_liberty_helmet,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x7E,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,10702,,,,,,MTX6,
boosterpack,LUA_MENU_MTX6_SD_LIBERTY_UNI,sd_mp_liberty_uniform,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x7D,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,10703,,,,,,MTX6,
boosterpack,LUA_MENU_MTX6_SD_LIBERTY_WEAP,sd_mp_liberty_weapon,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x7C,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,10704,,,,,,MTX6,
boosterpack,LUA_MENU_MTX5_SD_LMG_BRIBE,sd_mp_lmg_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6E,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8316,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_MOUNT_BRIBE,sd_mp_mountain_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x74,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8317,,,,,,MTX5,
boosterpack,LUA_MENU_SUPPLY_DROP_MTX,sd_mp_rare,0,advanced_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x2,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,13,,,,,,Gold,
boosterpack,LUA_MENU_MTX9_SD_NODUPES,sd_mp_rare_nodupes,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x8D,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12993,,,,,,MTX9,
boosterpack,LUA_MENU_SUPPLY_DROP_MTX,sd_mp_rare_testA,0,advanced_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x58,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6252,,,,,,MTX3_5,
boosterpack,LUA_MENU_SUPPLY_DROP_MTX,sd_mp_rare_testB,0,advanced_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x5A,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,6253,,,,,,MTX3_5,
boosterpack,LOOT_MTX2_SD_RESIST,sd_mp_resist,0,resistance_drop,,,,,,0,0,0,0,0,0,0,0,0x4D,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4291,,,,,,MTX2,
boosterpack,LOOT_MTX2_SD_RESIST_BRIBE,sd_mp_resist_bribe,0,resistance_bribe,,,,,,0,0,0,0,0,0,0,0,0x4E,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4292,,,,,,MTX2,
boosterpack,LOOT_MTX3_SD_RESIST_EPIC_UNIFORM_BRIBE,sd_mp_resist_epic_uniform,0,resistance_uniform_bribe,,,,,,0,0,0,0,0,0,0,0,0x55,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,5363,,,,,,MTX3,
boosterpack,LOOT_MTX2_SD_RESIST_UNIFORM_BRIBE,sd_mp_resist_uniform,0,resistance_uniform_bribe,,,,,,0,0,0,0,0,0,0,0,0x52,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4953,,,,,,MTX3,
boosterpack,LUA_MENU_MTX5_SD_RESIST_BRIBE,sd_mp_resistance_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x76,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8318,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_RETIC_BRIBE,sd_mp_reticle,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6A,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8319,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_RIFLE_BRIBE,sd_mp_rifle_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6C,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8320,,,,,,MTX5,
boosterpack,LUA_MENU_MTX7_SD_SHMRCK_BRIBE,sd_mp_shamrock,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x8B,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,12544,,,,,,MTX7,
boosterpack,LUA_MENU_MTX5_SD_SHOTGUN_BRIBE,sd_mp_shotgun_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x70,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8321,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_SMG_BRIBE,sd_mp_smg_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6D,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8322,,,,,,MTX5,
boosterpack,LUA_MENU_MTX5_SD_SNIPER_BRIBE,sd_mp_sniper_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x6F,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8323,,,,,,MTX5,
boosterpack,LUA_MENU_MTX7_SD_SUMMER_BRIBE,sd_mp_summer_bribe,0,days_of_summer_bribe,,,,,,0,0,0,0,0,0,0,0,0x7F,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11533,,,,,,MTX7,
boosterpack,LUA_MENU_MTX6_SD_SUMMER_HELM,sd_mp_summer_helmet,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x82,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11534,,,,,,MTX6,
boosterpack,LUA_MENU_MTX6_SD_SUMMER_UNI,sd_mp_summer_uniform,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x81,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11535,,,,,,MTX6,
boosterpack,LUA_MENU_MTX6_SD_SUMMER_WEAP,sd_mp_summer_weapon,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x80,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,11536,,,,,,MTX6,
boosterpack,LUA_MENU_SUPPLY_DROP,sd_mp_testA,0,supply_drop,,,,,,0,0,0,0,0,0,0,0,0x57,,,,0,,1,0,,,,0,,,,1,1,1,1,,,,,,0,0,0,0,,,0,0,6254,,,,,,MTX3_5,
boosterpack,LUA_MENU_SUPPLY_DROP,sd_mp_testB,0,supply_drop,,,,,,0,0,0,0,0,0,0,0,0x59,,,,0,,1,0,,,,0,,,,1,1,1,1,,,,,,0,0,0,0,,,0,0,6255,,,,,,MTX3_5,
boosterpack,LUA_MENU_MTX5_SD_UNDEAD_BRIBE,sd_mp_undead_bribe,0,zombie_siege_bribe,,,,,,0,0,0,0,0,0,0,0,0x69,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8324,,,,,,MTX5,
boosterpack,LUA_MENU_MTX4_SD_UND_HELM,sd_mp_undead_helmet,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x79,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8644,,,,,,MTX4,
boosterpack,LUA_MENU_MTX4_SD_UND_UNI,sd_mp_undead_uniform,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x78,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8645,,,,,,MTX4,
boosterpack,LUA_MENU_MTX4_SD_UND_WEAP,sd_mp_undead_weapon,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x77,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8646,,,,,,MTX4,
boosterpack,LUA_MENU_MTX2_SD_UNIFORM_BRIBE,sd_mp_uniform_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x51,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4954,,,,,,MTX3,
boosterpack,LOOT_MTX4_SD_WARMACHINE,sd_mp_warmachine,0,war_machine_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x5E,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7618,,,,,,MTX4,
boosterpack,LOOT_MTX4_SD_WARMACHINE_BRIBE,sd_mp_warmachine_bribe,0,war_machine_bribe,,,,,,0,0,0,0,0,0,0,0,0x5F,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,7619,,,,,,MTX4,
boosterpack,LUA_MENU_SD_WEAPON_BRIBE,sd_mp_weapon_bribe,0,weapon_bribe,,,,,,0,0,0,0,0,0,0,0,0x48,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,3722,,,,,,TU1,
boosterpack,LOOT_MTX1_SUPPLY_DROP_WINTER,sd_mp_winter,0,winter_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x4B,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,3821,,,,,,MTX1,
boosterpack,LOOT_MTX1_SUPPLY_DROP_WINTER_BRIBE,sd_mp_winter_bribe,0,winter_bribe,,,,,,0,0,0,0,0,0,0,0,0x4C,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4094,,,,,,MTX1,
boosterpack,LUA_MENU_SUPPLY_DROP_ZOMBIE,sd_zombie,0,zombie_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x5,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,14,,,,,,Gold,
boosterpack,LUA_MENU_SD_ZM_CON,sd_zombie_consumables,0,zombie_consumables,,,,,,0,0,0,0,0,0,0,0,0x7A,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,8778,,,,,,MTX5,
boosterpack,LUA_MENU_MTX2_ZOMBIE_EPIC_SD,sd_zombie_epic,0,epic_zombie_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x4F,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,4947,,,,,,MTX3,
boosterpack,LUA_MENU_ZOMBIE_HEROIC_SUPPLY_DROP,sd_zombie_heroic,0,heroic_zombie_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x47,,,,0,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,15,,,,,,Gold,
boosterpack,LUA_MENU_SUPPLY_DROP_ZOMBIE_RARE,sd_zombie_rare,0,advanced_zombie_supply_drop,,,,,,0,0,0,0,0,0,0,0,0x6,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,16,,,,,,Gold,
consumable,bonusdivisionxp_counter,bonusdivisionxp_counter,0,,,hasBonusDivisionXPItem,,,,0,0,0,0,0,0,0,0,0xA00066,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,17,,,,,,Gold,
consumable,AEC_REWARD_BONUSDIVISIONXP_10MIN,bonusdivisionxp_increment_10mins,0,s2_active_boost_bonus_division_xp,,,,,,0,0,0,0,0,0,0,0,0xA00068,,,,1,,0,0,,,,1,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,18,,,,,,Gold,
consumable,AEC_REWARD_BONUSDIVISIONXP_15MIN,bonusdivisionxp_increment_15mins,0,s2_active_boost_bonus_division_xp,,,,,,0,0,0,0,0,0,0,0,0xA00069,,,,1,,0,0,,,,2,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,19,,,,,,Gold,
consumable,AEC_REWARD_BONUSDIVISIONXP_20MIN,bonusdivisionxp_increment_20mins,0,s2_active_boost_bonus_division_xp,,,,,,0,0,0,0,0,0,0,0,0xA00070,,,,1,,0,0,,,,3,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,20,,,,,,Gold,
consumable,AEC_REWARD_BONUSDIVISIONXP_5MIN,bonusdivisionxp_increment_5mins,0,s2_active_boost_bonus_division_xp,,,,,,0,0,0,0,0,0,0,0,0xA00067,,,,1,,0,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,21,,,,,,Gold,
consumable,bonusweaponxp_counter,bonusweaponxp_counter,0,,,hasBonusWeaponXPItem,,,,0,0,0,0,0,0,0,0,0xA00053,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,22,,,,,,Gold,
consumable,AEC_REWARD_BONUSWEAPONXP_10MIN,bonusweaponxp_increment_10mins,0,s2_active_boost_bonus_weapon_xp,,,,,,0,0,0,0,0,0,0,0,0xA00057,,,,1,,0,0,,,,1,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,23,,,,,,Gold,
consumable,AEC_REWARD_BONUSWEAPONXP_15MIN,bonusweaponxp_increment_15mins,0,s2_active_boost_bonus_weapon_xp,,,,,,0,0,0,0,0,0,0,0,0xA00058,,,,1,,0,0,,,,2,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,24,,,,,,Gold,
consumable,AEC_REWARD_BONUSWEAPONXP_20MIN,bonusweaponxp_increment_20mins,0,s2_active_boost_bonus_weapon_xp,,,,,,0,0,0,0,0,0,0,0,0xA00059,,,,1,,0,0,,,,3,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,25,,,,,,Gold,
consumable,AEC_REWARD_BONUSWEAPONXP_5MIN,bonusweaponxp_increment_5mins,0,s2_active_boost_bonus_weapon_xp,,,,,,0,0,0,0,0,0,0,0,0xA00065,,,,1,,0,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,26,,,,,,Gold,
consumable,bonusxp_counter,bonusxp_counter,0,,,hasBonusXPItem,,,,0,0,0,0,0,0,0,0,0xA00052,,,,1,,1,0,,,,0,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,27,,,,,,Gold,
consumable,AEC_REWARD_BONUSXP_10MIN,bonusxp_increment_10mins,0,s2_active_boost_bonus_rank_xp,,,,,,0,0,0,0,0,0,0,0,0xA00054,,,,1,,0,0,,,,1,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,28,,,,,,Gold,
consumable,AEC_REWARD_BONUSXP_15MIN,bonusxp_increment_15mins,0,s2_active_boost_bonus_rank_xp,,,,,,0,0,0,0,0,0,0,0,0xA00055,,,,1,,0,0,,,,2,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,29,,,,,,Gold,
consumable,AEC_REWARD_BONUSXP_20MIN,bonusxp_increment_20mins,0,s2_active_boost_bonus_rank_xp,,,,,,0,0,0,0,0,0,0,0,0xA00056,,,,1,,0,0,,,,3,,,,1,1,1,,,,,,,0,0,0,0,,,0,0,30,,,,,,Gold,
