a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,m11,n12,o13,p14,q15,r16,s17,s18,t19,
19,msgt2,576752,44744,RANK_TEC1,RANK_TEC1_FULL,hud_playerlevel_20,621496,kar98_mp,,,,20,20,,RANK_TEC1_FULL,token,,zm_ranked_up_20,,
20,msgt3,621496,45564,RANK_TEC1,RANK_TEC1_FULL2,hud_playerlevel_21,667060,,,,,21,21,,RANK_TEC1_FULL_N,token,,zm_ranked_up_21,,
21,mgysgt1,667060,46347,RANK_1STSGT,RANK_1STSGT_FULL,hud_playerlevel_22,713407,,,,telescopic_sight,iron_sight_sniper,22,22,,RANK_1STSGT_FULL,token,,zm_ranked_up_22,2,
22,mgysgt2,713407,47098,RANK_1STSGT,RANK_1STSGT_FULL2,hud_playerlevel_23,760505,,,,,23,23,,RANK_1STSGT_FULL_N,token,,zm_ranked_up_23,,
23,mgysgt3,760505,47817,RANK_MSGT,RANK_MSGT_FULL,hud_playerlevel_24,808322,,,,,24,24,,RANK_MSGT_FULL,token,,zm_ranked_up_24,,
24,2ndlt1,808322,48508,RANK_MSGT,RANK_MSGT_FULL2,hud_playerlevel_25,856831,m712_mp,,,rapid_fire,25,25,,RANK_MSGT_FULL_N,token,,zm_ranked_up_25,,
25,2ndlt2,856831,49174,RANK_SGTMAJ,RANK_SGTMAJ_FULL,hud_playerlevel_26,906004,,,,,26,26,,RANK_SGTMAJ_FULL,token,,zm_ranked_up_26,1,
26,2ndlt3,906004,49815,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,hud_playerlevel_27,955819,,,,,27,27,,RANK_SGTMAJ_FULL_N,token,,zm_ranked_up_27,,
27,lt1,955819,50433,RANK_CSM,RANK_CSM_FULL,hud_playerlevel_28,1006252,,,,,28,28,,RANK_CSM_FULL,token,,zm_ranked_up_28,,
28,lt2,1006252,51031,RANK_CSM,RANK_CSM_FULL2,hud_playerlevel_29,1057283,,,,extended_mag,29,29,,RANK_CSM_FULL_N,token,,zm_ranked_up_29,,
29,lt3,1057283,51609,RANK_2NDLT,RANK_2NDLT_FULL,hud_playerlevel_30,1108892,m30_mp,,,,30,30,,RANK_2NDLT_FULL,token,,zm_ranked_up_30,1,
30,cpt1,1108892,52168,RANK_2NDLT,RANK_2NDLT_FULL2,hud_playerlevel_31,1161060,,,,,31,31,,RANK_2NDLT_FULL_N,token,,zm_ranked_up_31,,
31,cpt2,1161060,52711,RANK_LT,RANK_LT_FULL,hud_playerlevel_32,1213771,,,,extended_range,32,32,,RANK_LT_FULL,token,,zm_ranked_up_32,,
32,cpt3,1213771,53237,RANK_LT,RANK_LT_FULL2,hud_playerlevel_33,1267008,,,,,33,33,,RANK_LT_FULL_N,token,,zm_ranked_up_33,,
33,maj1,1267008,53748,RANK_CPT,RANK_CPT_FULL,hud_playerlevel_34,1320756,,,,,34,34,,RANK_CPT_FULL,token,,zm_ranked_up_34,2,
34,maj2,1320756,54244,RANK_CPT,RANK_CPT_FULL2,hud_playerlevel_35,1375000,c4_mp,g43_mp,,,,35,35,,RANK_CPT_FULL_N,token,,zm_ranked_up_35,,
35,maj3,1375000,54727,RANK_MAJ,RANK_MAJ_FULL,hud_playerlevel_36,1429727,,,,reduced_sway,36,36,,RANK_MAJ_FULL,token,,zm_ranked_up_36,,
36,ltcol1,1429727,55197,RANK_MAJ,RANK_MAJ_FULL2,hud_playerlevel_37,1484925,,,,,37,37,,RANK_MAJ_FULL_N,token,,zm_ranked_up_37,,
37,ltcol2,1484925,55655,RANK_LTCOL,RANK_LTCOL_FULL,hud_playerlevel_38,1540580,,,,,38,38,,RANK_LTCOL_FULL,token,,zm_ranked_up_38,1,
38,ltcol3,1540580,56101,RANK_LTCOL,RANK_LTCOL_FULL2,hud_playerlevel_39,1596681,,,,head_damage,39,39,,RANK_LTCOL_FULL_N,token,,zm_ranked_up_39,,
39,col1,1596681,56537,RANK_COL,RANK_COL_FULL,hud_playerlevel_40,1653218,m1a1_mp,,,,40,40,,RANK_COL_FULL,token,,zm_ranked_up_40,,
40,col2,1653218,56961,RANK_BGEN,RANK_BGEN_FULL,hud_playerlevel_41,1710179,,,,,41,41,,RANK_BGEN_FULL,token,,zm_ranked_up_41,,
41,col3,1710179,57376,RANK_MAJGEN,RANK_MAJGEN_FULL,hud_playerlevel_42,1767556,,,,,42,42,,RANK_MAJGEN_FULL,token,,zm_ranked_up_42,1,
42,bgen1,1767556,57781,RANK_LTGEN,RANK_LTGEN_FULL,hud_playerlevel_43,1825337,,,,akimbo,43,43,,RANK_LTGEN_FULL,token,,zm_ranked_up_43,,
43,bgen2,1825337,58178,RANK_GEN,RANK_GEN_FULL,hud_playerlevel_44,1883515,,,,,44,44,,RANK_GEN_FULL,token,,zm_ranked_up_44,,
44,bgen3,1883515,58565,RANK_COM,RANK_COM_FULL,hud_playerlevel_45,1942080,throwingknife_mp,enfieldno2_mp,,,,45,45,,RANK_COM_FULL,,,zm_ranked_up_45,2,
45,mstr,1942080,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2000645,,,,,46,46,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
46,mstr,2000645,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2059210,,,,,47,47,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
47,mstr,2059210,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2117775,,,,,48,48,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
48,mstr,2117775,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2176340,,,,,49,49,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
49,mstr,2176340,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2234905,,,,,50,50,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
50,mstr,2234905,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2293470,,,,,51,51,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
51,mstr,2293470,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2352035,,,,,52,52,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
52,mstr,2352035,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2410600,,,,,53,53,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
53,mstr,2410600,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2469165,,,,,54,54,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
54,mstr,2469165,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2527730,,,,,55,55,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
55,mstr,2527730,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2586295,,,,,56,56,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
56,mstr,2586295,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2644860,,,,,57,57,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
57,mstr,2644860,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2703425,,,,,58,58,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
58,mstr,2703425,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2761990,,,,,59,59,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
59,mstr,2761990,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2820555,,,,,60,60,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
60,mstr,2820555,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2879120,,,,,61,61,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
61,mstr,2879120,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2937685,,,,,62,62,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
62,mstr,2937685,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2996250,,,,,63,63,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
63,mstr,2996250,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3054815,,,,,64,64,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
64,mstr,3054815,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3113380,,,,,65,65,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
65,mstr,3113380,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3171945,,,,,66,66,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
66,mstr,3171945,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3230510,,,,,67,67,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
67,mstr,3230510,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3289075,,,,,68,68,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
68,mstr,3289075,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3347640,,,,,69,69,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
69,mstr,3347640,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3406205,,,,,70,70,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
70,mstr,3406205,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3464770,,,,,71,71,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
71,mstr,3464770,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3523335,,,,,72,72,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
72,mstr,3523335,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3581900,,,,,73,73,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
73,mstr,3581900,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3640465,,,,,74,74,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
74,mstr,3640465,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3699030,,,,,75,75,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
75,mstr,3699030,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3757595,,,,,76,76,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
76,mstr,3757595,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3816160,,,,,77,77,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
77,mstr,3816160,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3874725,,,,,78,78,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
78,mstr,3874725,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3933290,,,,,79,79,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
79,mstr,3933290,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3991855,,,,,80,80,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
80,mstr,3991855,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4050420,,,,,81,81,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
81,mstr,4050420,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4108985,,,,,82,82,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
82,mstr,4108985,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4167550,,,,,83,83,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
83,mstr,4167550,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4226115,,,,,84,84,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
84,mstr,4226115,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4284680,,,,,85,85,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
85,mstr,4284680,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4343245,,,,,86,86,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
86,mstr,4343245,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4401810,,,,,87,87,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
87,mstr,4401810,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4460375,,,,,88,88,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
88,mstr,4460375,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4518940,,,,,89,89,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
89,mstr,4518940,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4577505,,,,,90,90,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
90,mstr,4577505,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4636070,,,,,91,91,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
91,mstr,4636070,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4694635,,,,,92,92,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
92,mstr,4694635,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4753200,,,,,93,93,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
93,mstr,4753200,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4811765,,,,,94,94,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
94,mstr,4811765,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4870330,,,,,95,95,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
95,mstr,4870330,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4928895,,,,,96,96,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
96,mstr,4928895,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4987460,,,,,97,97,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
97,mstr,4987460,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5046025,,,,,98,98,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
98,mstr,5046025,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5104590,,,,,99,99,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
99,mstr,5104590,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5163155,,,,,100,100,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
100,mstr,5163155,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5221720,,,,,101,101,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
101,mstr,5221720,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5280285,,,,,102,102,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
102,mstr,5280285,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5338850,,,,,103,103,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
103,mstr,5338850,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5397415,,,,,104,104,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
104,mstr,5397415,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5455980,,,,,105,105,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
105,mstr,5455980,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5514545,,,,,106,106,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
106,mstr,5514545,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5573110,,,,,107,107,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
107,mstr,5573110,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5631675,,,,,108,108,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
108,mstr,5631675,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5690240,,,,,109,109,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
109,mstr,5690240,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5748805,,,,,110,110,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
110,mstr,5748805,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5807370,,,,,111,111,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
111,mstr,5807370,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5865935,,,,,112,112,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
112,mstr,5865935,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5924500,,,,,113,113,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
113,mstr,5924500,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5983065,,,,,114,114,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
114,mstr,5983065,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6041630,,,,,115,115,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
115,mstr,6041630,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6100195,,,,,116,116,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
116,mstr,6100195,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6158760,,,,,117,117,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
117,mstr,6158760,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6217325,,,,,118,118,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
118,mstr,6217325,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6275890,,,,,119,119,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
119,mstr,6275890,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6334455,,,,,120,120,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
120,mstr,6334455,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6393020,,,,,121,121,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
121,mstr,6393020,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6451585,,,,,122,122,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
122,mstr,6451585,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6510150,,,,,123,123,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
123,mstr,6510150,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6568715,,,,,124,124,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
124,mstr,6568715,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6627280,,,,,125,125,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
125,mstr,6627280,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6685845,,,,,126,126,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
126,mstr,6685845,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6744410,,,,,127,127,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
127,mstr,6744410,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6802975,,,,,128,128,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
128,mstr,6802975,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6861540,,,,,129,129,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
129,mstr,6861540,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,6920105,,,,,130,130,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
