model,category,-idIndex,primaryid,collision,transient override,-lobmodel,viewmodel,-worldmat,-viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel,
eng_younger_atsglasses_base,eyewear,,10,0,eyewear,,,,,younger,!scarf,,,,,,,,
eng_habhab_atsglasses_base,eyewear,,10,0,eyewear,,,,,habhab,!scarf,,,,,,,,
eng_silva_atsglasses_base,eyewear,,10,0,eyewear,,,,,silva,!scarf,,,,,,,,
eng_starcher_atsglasses_base,eyewear,,10,0,eyewear,,,,,starcher,!scarf,,,,,,,,
eng_tab_atsglasses_base,eyewear,,10,0,eyewear,,,,,tab,!scarf,,,,,,,,
eng_clark_atsglasses_base,eyewear,,10,0,eyewear,,,,,clark,!scarf,,,,,,,,
eng_mano_atsglasses_base,eyewear,,10,0,eyewear,,,,,mano,!scarf,,,,,,,,
eng_balthazar_atsglasses_base,eyewear,,10,0,eyewear,,,,,elliot,!scarf,,,,,,,,
eng_gomez_atsglasses_base,eyewear,,10,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_alfakey_atsglasses_base,eyewear,,10,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_joyce_atsglasses_base,eyewear,,10,0,eyewear,,,,,joyce,!scarf,,,,,,,,
can_king_gasmask_base,eyewear,,14,0,eyewear,,,,,king,!scarf,,,,,,,,
can_habhab_gasmask_base,eyewear,,14,0,eyewear,,,,,habhab,!scarf,,,,,,,,
can_younger_gasmask_base,eyewear,,14,0,eyewear,,,,,younger,!scarf,,,,,,,,
can_silva_gasmask_base,eyewear,,14,0,eyewear,,,,,silva,!scarf,,,,,,,,
can_clark_gasmask_base,eyewear,,14,0,eyewear,,,,,clark,!scarf,,,,,,,,
can_starcher_gasmask_base,eyewear,,14,0,eyewear,,,,,starcher,!scarf,,,,,,,,
can_tab_gasmask_base,eyewear,,14,0,eyewear,,,,,tab,!scarf,,,,,,,,
can_mano_gasmask_base,eyewear,,14,0,eyewear,,,,,mano,!scarf,,,,,,,,
can_balthazar_gasmask_base,eyewear,,14,0,eyewear,,,,,elliot,!scarf,,,,,,,,
can_gomez_gasmask_base,eyewear,,14,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
can_alfakey_gasmask_base,eyewear,,14,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
can_joyce_gasmask_base,eyewear,,14,0,eyewear,,,,,joyce,!scarf,,,,,,,,
fra_younger_tc38mask_base,eyewear,,16,0,eyewear,,,,,younger,!scarf,,,,,,,,
fra_king_tc38mask_base,eyewear,,16,0,eyewear,,,,,king,!scarf,,,,,,,,
fra_habhab_tc38mask_base,eyewear,,16,0,eyewear,,,,,habhab,!scarf,,,,,,,,
fra_silva_tc38mask_base,eyewear,,16,0,eyewear,,,,,silva,!scarf,,,,,,,,
fra_starcher_tc38mask_base,eyewear,,16,0,eyewear,,,,,starcher,!scarf,,,,,,,,
fra_clark_tc38mask_base,eyewear,,16,0,eyewear,,,,,clark,!scarf,,,,,,,,
fra_tab_tc38mask_base,eyewear,,16,0,eyewear,,,,,tab,!scarf,,,,,,,,
fra_mano_tc38mask_base,eyewear,,16,0,eyewear,,,,,mano,!scarf,,,,,,,,
fra_balthazar_tc38mask_base,eyewear,,16,0,eyewear,,,,,elliot,!scarf,,,,,,,,
fra_gomez_tc38mask_base,eyewear,,16,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
fra_alfakey_tc38mask_base,eyewear,,16,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
fra_joyce_tc38mask_base,eyewear,,16,0,eyewear,,,,,joyce,!scarf,,,,,,,,
usa_king_facescarf_base,eyewear,,21,0,Eyewear,,,,,king,!scarf,,,,,,,,
usa_younger_facescarf_base,eyewear,,21,0,Eyewear,,,,,younger,!scarf,,,,,,,,
usa_habhab_facescarf_base,eyewear,,21,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
usa_silva_facescarf_base,eyewear,,21,0,Eyewear,,,,,silva,!scarf,,,,,,,,
usa_starcher_facescarf_base,eyewear,,21,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_facescarf_base,eyewear,,21,0,Eyewear,,,,,clark,!scarf,,,,,,,,
usa_tab_facescarf_base,eyewear,,21,0,Eyewear,,,,,tab,!scarf,,,,,,,,
usa_mano_facescarf_base,eyewear,,21,0,Eyewear,,,,,mano,!scarf,,,,,,,,
usa_balthazar_facescarf_base,eyewear,,21,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
usa_gomez_facescarf_base,eyewear,,21,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_alfakey_facescarf_base,eyewear,,21,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_joyce_facescarf_base,eyewear,,21,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
usa_balthazar_scarf_base,eyewear,,23,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
usa_habhab_scarf_base,eyewear,,23,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
usa_king_scarf_base,eyewear,,23,0,Eyewear,,,,,king,!scarf,,,,,,,,
usa_silva_scarf_base,eyewear,,23,0,Eyewear,,,,,silva,!scarf,,,,,,,,
usa_younger_scarf_base,eyewear,,23,0,Eyewear,,,,,younger,!scarf,,,,,,,,
usa_starcher_scarf_base,eyewear,,23,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
usa_clark_scarf_base,eyewear,,23,0,Eyewear,,,,,clark,!scarf,,,,,,,,
usa_mano_scarf_base,eyewear,,23,0,Eyewear,,,,,mano,!scarf,,,,,,,,
usa_joyce_scarf_base,eyewear,,23,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
usa_gomez_scarf_base,eyewear,,23,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_tab_scarf_base,eyewear,,23,0,Eyewear,,,,,tab,!scarf,,,,,,,,
usa_alfakey_scarf_base,eyewear,,23,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_silva_headscarf_base,eyewear,,25,0,Eyewear,,,,,silva,!scarf,,,,,,,,
eng_king_headscarf_base,eyewear,,25,0,Eyewear,,,,,king,!scarf,,,,,,,,
eng_habhab_headscarf_base,eyewear,,25,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
eng_younger_headscarf_base,eyewear,,25,0,Eyewear,,,,,younger,!scarf,,,,,,,,
eng_starcher_headscarf_base,eyewear,,25,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
eng_clark_headscarf_base,eyewear,,25,0,Eyewear,,,,,clark,!scarf,,,,,,,,
eng_mano_headscarf_base,eyewear,,25,0,Eyewear,,,,,mano,!scarf,,,,,,,,
eng_elliot_headscarf_base,eyewear,,25,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
eng_nguyen_headscarf_base,eyewear,,25,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_alfakey_headscarf_base,eyewear,,25,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_tab_headscarf_base,eyewear,,25,0,Eyewear,,,,,tab,!scarf,,,,,,,,
eng_joyce_headscarf_base,eyewear,,25,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
den_younger_resistframes_base,eyewear,,29,0,Eyewear,,,,,younger,!scarf,,,,,,,,
den_silva_resistframes_base,eyewear,,29,0,Eyewear,,,,,silva,!scarf,,,,,,,,
den_king_resistframes_base,eyewear,,29,0,Eyewear,,,,,king,!scarf,,,,,,,,
den_habhab_resistframes_base,eyewear,,29,0,Eyewear,,,,,habhab,!scarf,,,,,,,,
den_starcher_resistframes_base,eyewear,,29,0,Eyewear,,,,,starcher,!scarf,,,,,,,,
den_clark_resistframes_base,eyewear,,29,0,Eyewear,,,,,clark,!scarf,,,,,,,,
den_mano_resistframes_base,eyewear,,29,0,Eyewear,,,,,mano,!scarf,,,,,,,,
den_elliot_resistframes_base,eyewear,,29,0,Eyewear,,,,,elliot,!scarf,,,,,,,,
den_nguyen_resistframes_base,eyewear,,29,0,Eyewear,,,,,nguyen,!scarf,,,,,,,,
den_alfakey_resistframes_base,eyewear,,29,0,Eyewear,,,,,alfakey,!scarf,,,,,,,,
den_tab_resistframes_base,eyewear,,29,0,Eyewear,,,,,tab,!scarf,,,,,,,,
den_joyce_resistframes_base,eyewear,,29,0,Eyewear,,,,,joyce,!scarf,,,,,,,,
fra_esc_alfakey_cigarette_base,eyewear,,38,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
fra_esc_clark_cigarette_base,eyewear,,38,0,eyewear,,,,,clark,!scarf,,,,,,,,
fra_esc_elliot_cigarette_base,eyewear,,38,0,eyewear,,,,,elliot,!scarf,,,,,,,,
fra_esc_habhab_cigarette_base,eyewear,,38,0,eyewear,,,,,habhab,!scarf,,,,,,,,
fra_esc_joyce_cigarette_base,eyewear,,38,0,eyewear,,,,,joyce,!scarf,,,,,,,,
fra_esc_mano_cigarette_base,eyewear,,38,0,eyewear,,,,,mano,!scarf,,,,,,,,
fra_esc_nguyen_cigarette_base,eyewear,,38,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
fra_esc_silva_cigarette_base,eyewear,,38,0,eyewear,,,,,silva,!scarf,,,,,,,,
fra_esc_starcher_cigarette_base,eyewear,,38,0,eyewear,,,,,starcher,!scarf,,,,,,,,
fra_esc_tab_cigarette_base,eyewear,,38,0,eyewear,,,,,tab,!scarf,,,,,,,,
fra_esc_younger_cigarette_base,eyewear,,38,0,eyewear,,,,,younger,!scarf,,,,,,,,
fra_esc_king_cigarette_base,eyewear,,38,0,eyewear,,,,,king,!scarf,,,,,,,,
usa_esc_alfakey_facescarf_base,eyewear,,41,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_esc_clark_facescarf_base,eyewear,,41,0,eyewear,,,,,clark,!scarf,,,,,,,,
usa_esc_elliot_facescarf_base,eyewear,,41,0,eyewear,,,,,elliot,!scarf,,,,,,,,
usa_esc_habhab_facescarf_base,eyewear,,41,0,eyewear,,,,,habhab,!scarf,,,,,,,,
usa_esc_joyce_facescarf_base,eyewear,,41,0,eyewear,,,,,joyce,!scarf,,,,,,,,
usa_esc_king_facescarf_base,eyewear,,41,0,eyewear,,,,,king,!scarf,,,,,,,,
usa_esc_mano_facescarf_base,eyewear,,41,0,eyewear,,,,,mano,!scarf,,,,,,,,
usa_esc_nguyen_facescarf_base,eyewear,,41,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_esc_silva_facescarf_base,eyewear,,41,0,eyewear,,,,,silva,!scarf,,,,,,,,
usa_esc_starcher_facescarf_base,eyewear,,41,0,eyewear,,,,,starcher,!scarf,,,,,,,,
usa_esc_tab_facescarf_base,eyewear,,41,0,eyewear,,,,,tab,!scarf,,,,,,,,
usa_esc_younger_facescarf_base,eyewear,,41,0,eyewear,,,,,younger,!scarf,,,,,,,,
eng_butch_silva_scarf_base,eyewear,,42,0,eyewear,,,,,silva,!scarf,,,,,,,,
eng_butch_king_scarf_base,eyewear,,42,0,eyewear,,,,,king,!scarf,,,,,,,,
eng_butch_habhab_scarf_base,eyewear,,42,0,eyewear,,,,,habhab,!scarf,,,,,,,,
eng_butch_younger_scarf_base,eyewear,,42,0,eyewear,,,,,younger,!scarf,,,,,,,,
eng_butch_starcher_scarf_base,eyewear,,42,0,eyewear,,,,,starcher,!scarf,,,,,,,,
eng_butch_clark_scarf_base,eyewear,,42,0,eyewear,,,,,clark,!scarf,,,,,,,,
eng_butch_mano_scarf_base,eyewear,,42,0,eyewear,,,,,mano,!scarf,,,,,,,,
eng_butch_elliot_scarf_base,eyewear,,42,0,eyewear,,,,,elliot,!scarf,,,,,,,,
eng_butch_nguyen_scarf_base,eyewear,,42,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_butch_alfakey_scarf_base,eyewear,,42,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_butch_tab_scarf_base,eyewear,,42,0,eyewear,,,,,tab,!scarf,,,,,,,,
eng_butch_joyce_scarf_base,eyewear,,42,0,eyewear,,,,,joyce,!scarf,,,,,,,,
zmp_hunter_silva_mask_base,eyewear,,44,0,eyewear,,,,,!scarf,silva,,,,,,,,
zmp_hunter_king_mask_base,eyewear,,44,0,eyewear,,,,,king,!scarf,,,,,,,,
zmp_hunter_habhab_mask_base,eyewear,,44,0,eyewear,,,,,habhab,!scarf,,,,,,,,
zmp_hunter_younger_mask_base,eyewear,,44,0,eyewear,,,,,younger,!scarf,,,,,,,,
zmp_hunter_starcher_mask_base,eyewear,,44,0,eyewear,,,,,starcher,!scarf,,,,,,,,
zmp_hunter_clark_mask_base,eyewear,,44,0,eyewear,,,,,clark,!scarf,,,,,,,,
zmp_hunter_mano_mask_base,eyewear,,44,0,eyewear,,,,,mano,!scarf,,,,,,,,
zmp_hunter_elliot_mask_base,eyewear,,44,0,eyewear,,,,,elliot,!scarf,,,,,,,,
zmp_hunter_nguyen_mask_base,eyewear,,44,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
zmp_hunter_alfakey_mask_base,eyewear,,44,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
zmp_hunter_tab_mask_base,eyewear,,44,0,eyewear,,,,,tab,!scarf,,,,,,,,
zmp_hunter_joyce_mask_base,eyewear,,44,0,eyewear,,,,,joyce,!scarf,,,,,,,,
zmp_siege_king_facescarf_base,eyewear,,48,0,eyewear,,,,,king,!scarf,,,,,,,,
zmp_siege_silva_facescarf_base,eyewear,,48,0,eyewear,,,,,silva,!scarf,,,,,,,,
zmp_siege_habhab_facescarf_base,eyewear,,48,0,eyewear,,,,,habhab,!scarf,,,,,,,,
zmp_siege_younger_facescarf_base,eyewear,,48,0,eyewear,,,,,younger,!scarf,,,,,,,,
zmp_siege_starcher_facescarf_base,eyewear,,48,0,eyewear,,,,,starcher,!scarf,,,,,,,,
zmp_siege_clark_facescarf_base,eyewear,,48,0,eyewear,,,,,clark,!scarf,,,,,,,,
zmp_siege_mano_facescarf_base,eyewear,,48,0,eyewear,,,,,mano,!scarf,,,,,,,,
zmp_siege_elliot_facescarf_base,eyewear,,48,0,eyewear,,,,,elliot,!scarf,,,,,,,,
zmp_siege_nguyen_facescarf_base,eyewear,,48,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
zmp_siege_alfakey_facescarf_base,eyewear,,48,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
zmp_siege_tab_facescarf_base,eyewear,,48,0,eyewear,,,,,tab,!scarf,,,,,,,,
zmp_siege_joyce_facescarf_base,eyewear,,48,0,eyewear,,,,,joyce,!scarf,,,,,,,,
pol_medic_silva_scarf_base,eyewear,,49,0,eyewear,,,,,silva,!scarf,,,,,,,,
pol_medic_king_scarf_base,eyewear,,49,0,eyewear,,,,,king,!scarf,,,,,,,,
pol_medic_habhab_scarf_base,eyewear,,49,0,eyewear,,,,,habhab,!scarf,,,,,,,,
pol_medic_younger_scarf_base,eyewear,,49,0,eyewear,,,,,younger,!scarf,,,,,,,,
pol_medic_starcher_scarf_base,eyewear,,49,0,eyewear,,,,,starcher,!scarf,,,,,,,,
pol_medic_clark_scarf_base,eyewear,,49,0,eyewear,,,,,clark,!scarf,,,,,,,,
pol_medic_mano_scarf_base,eyewear,,49,0,eyewear,,,,,mano,!scarf,,,,,,,,
pol_medic_elliot_scarf_base,eyewear,,49,0,eyewear,,,,,elliot,!scarf,,,,,,,,
pol_medic_nguyen_scarf_base,eyewear,,49,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
pol_medic_alfakey_scarf_base,eyewear,,49,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
pol_medic_tab_scarf_base,eyewear,,49,0,eyewear,,,,,tab,!scarf,,,,,,,,
pol_medic_joyce_scarf_base,eyewear,,49,0,eyewear,,,,,joyce,!scarf,,,,,,,,
aus_f_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,clark,!scarf,,,,,,,,
aus_f_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,elliot,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,habhab,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,joyce,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,king,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,mano,!scarf,,,,,,,,
aus_f_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
aus_f_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,silva,!scarf,,,,,,,,
aus_f_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,starcher,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,tab,!scarf,,,,,,,,
aus_m_cavalry_mask_base,eyewear,,50,0,eyewear,,,,,younger,!scarf,,,,,,,,
eng_heavy_alfakey_facegear_base,eyewear,,53,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_heavy_clark_facegear_base,eyewear,,53,0,eyewear,,,,,clark,!scarf,,,,,,,,
eng_heavy_elliot_facegear_base,eyewear,,53,0,eyewear,,,,,elliot,!scarf,,,,,,,,
eng_heavy_habhab_facegear_base,eyewear,,53,0,eyewear,,,,,habhab,!scarf,,,,,,,,
eng_heavy_joyce_facegear_base,eyewear,,53,0,eyewear,,,,,joyce,!scarf,,,,,,,,
eng_heavy_king_facegear_base,eyewear,,53,0,eyewear,,,,,king,!scarf,,,,,,,,
eng_heavy_mano_facegear_base,eyewear,,53,0,eyewear,,,,,mano,!scarf,,,,,,,,
eng_heavy_nguyen_facegear_base,eyewear,,53,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_heavy_silva_facegear_base,eyewear,,53,0,eyewear,,,,,silva,!scarf,,,,,,,,
eng_heavy_starcher_facegear_base,eyewear,,53,0,eyewear,,,,,starcher,!scarf,,,,,,,,
eng_heavy_tab_facegear_base,eyewear,,53,0,eyewear,,,,,tab,!scarf,,,,,,,,
eng_heavy_younger_facegear_base,eyewear,,53,0,eyewear,,,,,younger,!scarf,,,,,,,,
usa_semi_mil_silva_glasses_base,eyewear,,54,0,eyewear,,,,,silva,!scarf,,,,,,,,
usa_semi_mil_king_glasses_base,eyewear,,54,0,eyewear,,,,,king,!scarf,,,,,,,,
usa_semi_mil_habhab_glasses_base,eyewear,,54,0,eyewear,,,,,habhab,!scarf,,,,,,,,
usa_semi_mil_younger_glasses_base,eyewear,,54,0,eyewear,,,,,younger,!scarf,,,,,,,,
usa_semi_mil_starcher_glasses_base,eyewear,,54,0,eyewear,,,,,starcher,!scarf,,,,,,,,
usa_semi_mil_clark_glasses_base,eyewear,,54,0,eyewear,,,,,clark,!scarf,,,,,,,,
usa_semi_mil_mano_glasses_base,eyewear,,54,0,eyewear,,,,,mano,!scarf,,,,,,,,
usa_semi_mil_elliot_glasses_base,eyewear,,54,0,eyewear,,,,,elliot,!scarf,,,,,,,,
usa_semi_mil_nguyen_glasses_base,eyewear,,54,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
usa_semi_mil_alfakey_glasses_base,eyewear,,54,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
usa_semi_mil_tab_glasses_base,eyewear,,54,0,eyewear,,,,,tab,!scarf,,,,,,,,
usa_semi_mil_joyce_glasses_base,eyewear,,54,0,eyewear,,,,,joyce,!scarf,,,,,,,,
eng_eyewear_alfakey_desert_base,eyewear,,55,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
eng_eyewear_clark_desert_base,eyewear,,55,0,eyewear,,,,,clark,!scarf,,,,,,,,
eng_eyewear_elliot_desert_base,eyewear,,55,0,eyewear,,,,,elliot,!scarf,,,,,,,,
eng_eyewear_habhab_desert_base,eyewear,,55,0,eyewear,,,,,habhab,!scarf,,,,,,,,
eng_eyewear_joyce_desert_base,eyewear,,55,0,eyewear,,,,,joyce,!scarf,,,,,,,,
eng_eyewear_king_desert_base,eyewear,,55,0,eyewear,,,,,king,!scarf,,,,,,,,
eng_eyewear_mano_desert_base,eyewear,,55,0,eyewear,,,,,mano,!scarf,,,,,,,,
eng_eyewear_nguyen_desert_base,eyewear,,55,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
eng_eyewear_silva_desert_base,eyewear,,55,0,eyewear,,,,,silva,!scarf,,,,,,,,
eng_eyewear_starcher_desert_base,eyewear,,55,0,eyewear,,,,,starcher,!scarf,,,,,,,,
eng_eyewear_tab_desert_base,eyewear,,55,0,eyewear,,,,,tab,!scarf,,,,,,,,
eng_eyewear_younger_desert_base,eyewear,,55,0,eyewear,,,,,younger,!scarf,,,,,,,,
rus_class_silva_gasmask_base,eyewear,,59,0,eyewear,,,,,silva,!scarf,,,,,,,,
rus_class_king_gasmask_base,eyewear,,59,0,eyewear,,,,,king,!scarf,,,,,,,,
rus_class_habhab_gasmask_base,eyewear,,59,0,eyewear,,,,,habhab,!scarf,,,,,,,,
rus_class_younger_gasmask_base,eyewear,,59,0,eyewear,,,,,younger,!scarf,,,,,,,,
rus_class_starcher_gasmask_base,eyewear,,59,0,eyewear,,,,,starcher,!scarf,,,,,,,,
rus_class_clark_gasmask_base,eyewear,,59,0,eyewear,,,,,clark,!scarf,,,,,,,,
rus_class_mano_gasmask_base,eyewear,,59,0,eyewear,,,,,mano,!scarf,,,,,,,,
rus_class_elliot_gasmask_base,eyewear,,59,0,eyewear,,,,,elliot,!scarf,,,,,,,,
