a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,
96,specialty_hard_shell,PERKS_TACTICALMASK,specialty_tactical_mask,PERKS_DESC_TACTICALMASK,unused,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_lowprofile,,,,
97,specialty_unwrapper,PERKS_UNWRAPPER,specialty_s1_temp,PERKS_DESC_UNWRAPPER,unused,,,,,,,,,,
98,specialty_fastclimb,PERKS_FASTCLIMB,specialty_s1_temp,PERKS_NONE,unused,,,,,,,,,,
99,specialty_superbulletpenetration,PERKS_SUPERBP,specialty_s1_temp,PERKS_NONE,unused,,,,,,,,,,
100,specialty_perkbreak_radar,,,,unused,,,,,,,,,,
101,specialty_nojumpfriction,PERKS_NOJUMPFRICTION,specialty_s1_temp,PERKS_DESC_NOJUMPFRICTION,unused,,,,,,,,,,
102,specialty_radarimmune,PERKS_RADARIMMUNE,specialty_s1_temp,PERKS_DESC_RADARIMMUNE,unused,,,,,,,,,,
103,specialty_uavhidden,,,,unused,,,,,,,,,,
104,specialty_plainsight,PERKS_PLAINSIGHT,specialty_s1_temp,PERKS_DESC_PLAINSIGHT,unused,,,,,,,,,,
105,specialty_throwback,PERKS_THROWBACK,specialty_s1_temp,PERKS_DESC_THROWBACK,unused,,,,,,,,,,
106,specialty_bulletresupply,PERKS_BULLETRESUPPLY,specialty_s1_temp,PERKS_DESC_BULLETRESUPPLY,unused,,,,,,,,,,
107,specialty_sixthsense,PERKS_SIXTHSENSE,specialty_sixth_sense,PERKS_DESC_SIXTHSENSE,unused,,LUA_MENU_PERK_CAPS,,,,,,,,
108,adrenaline_mp,PERKS_ADRENALINE,equipment_adrenaline,PERKS_DESC_ADRENALINE,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_overclock_fe,,,,,
109,extra_health_mp,PERKS_EXTRA_HEALTH,equipment_extra_health,PERKS_DESC_EXTRA_HEALTH,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_health_fe,,,,,
110,specialty_undercover,PERKS_UNDERCOVER,specialty_s1_temp,PERKS_NONE,unused,,,,,,,,,,
111,specialty_fastsprintads,PERKS_FASTSPRINTADS,specialty_s1_temp,PERKS_NONE,unused,,,,,,,,,,
112,specialty_extendedmelee,PERKS_EXTENDEDMELEE,specialty_commando,PERKS_DESC_EXTENDEDMELEE,unused,,,,,,,,,,
113,specialty_cookinggrenadedeath,,,,unused,,,,,,,,,,
114,specialty_throwequipmentfarther,,,,unused,,,,,,,,,,
115,specialty_shortfuse,,,,unused,,,,,,,,,,
116,specialty_perception,,,,unused,,,,,,,,,,
117,specialty_mantlefire,,,,unused,,,,,,,,,,
118,specialty_radarpingonspawn,,,,unused,,,,,,,,,,
119,specialty_minimapwhileads,,,,unused,,,,,,,,,,
120,specialty_eagleeyes,,,,unused,,,,,,,,,,
121,specialty_fireshield,,,,unused,,,,,,,,,,
122,specialty_fastoffhandrecovery,PERK_FASTOFFHANDRECOVERY,specialty_s1_temp,PERKS_NONE,unused,,,,,,,,,,
123,specialty_silentkill,,,,unused,,,,,,,,,,
124,specialty_marksmanvision,,,,unused,,,,,,,,,,
125,specialty_ballcarrier,,,,unused,,,,,,,,,,
126,specialty_stockpile,,,,unused,,,,,,,,,,
127,contact_grenade_mp,WEAPON_CONTACTGRENADE,equipment_gammon_bomb,WEAPON_CONTACTGRENADE_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,equipment_gammon_bomb,,,,,
128,bouncingbetty_mp,WEAPON_BOUNCINGBETTY,equipment_bouncing_betty,WEAPON_BOUNCINGBETTY_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,equipment_bouncing_betty,,,,,
129,thermite_mp,WEAPON_THERMITE,thermite_grenade,WEAPON_THERMITE_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
130,tabun_grenade_mp,WEAPON_TABUN,tabun_gas_grenade,WEAPON_TABUN_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
131,decoy_device_mp,WEAPON_DECOYDEVICE,decoy,WEAPON_DECOYDEVICE_DESC,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
132,frag_grenade_german_mp,PERKS_FRAG_X_1,equipment_frag,PERKS_DESC_FRAG_X1,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
133,signal_flare_mp,WEAPON_SIGNAL_FLARE,signal_flare,WEAPON_SIGNAL_FLARE_DESC,Tactical,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_frag_fe,,,,,
134,specialty_twoextralethal,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
135,specialty_twoextratactical,PERKS_SCAVENGER,specialty_s1_temp,PERKS_DESC_SCAVENGER,unused,,,,,,,,,,
136,specialty_sprintacceleration,,,,unused,,,,,,,,,,
137,specialty_sprintmeleecharge,,,,unused,,,,,,,,,,
138,specialty_sprintmeleechargelonger,,,,unused,,,,,,,,,,
139,smoke_grenade_axis_mp,PERKS_SMOKE_GRENADE,smoke_grenade,PERKS_DESC_SMOKE_GRENADE,Lethal,2,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_smoke_fe,,,,,
140,specialty_explosiveearlywarning,,,,unused,,,,,,,,,,
141,specialty_supportstreaks,,,,unused,,,,,,,,,,
142,specialty_minimapdangerinfo,,,,unused,,,,,,,,,,
143,specialty_divefire,,,,unused,,,,,,,,,,
144,specialty_scorestreakresupply,,,,unused,,,,,,,,,,
145,specialty_sprintfastrecovery,,,,unused,,,,,,,,,,
146,specialty_radarparatrooper,,,,unused,,,,,,,,,,
147,specialty_increasedmeleedamage,,,,unused,,,,,,,,,,
148,specialty_longersprint,,,,unused,,,,,,,,,,
149,specialty_immunesmoke,,,,unused,,,,,,,,,,
150,specialty_resistshellshock,,,,unused,,,,,,,,,,
151,specialty_fightorflight,,,,unused,,,,,,,,,,
152,specialty_gpsjammer,,,,unused,,,,,,,,,,
153,specialty_killstreaks,,,,unused,,,,,,,,,,
154,specialty_improvedstreaks,,,,unused,,,,,,,,,,
155,specialty_fourthstreak,,,,unused,,,,,,,,,,
156,specialty_fasterhealthregen,,,,unused,,,,,,,,,,
157,specialty_boostafterkill,,,,unused,,,,,,,,,,
158,specialty_intelresupply,,,,unused,,,,,,,,,,
159,specialty_sprintfasterovertime,,,,unused,,,,,,,,,,
160,specialty_regenbullets,,,,unused,,,,,,,,,,
161,specialty_regenequipment,,,,unused,,,,,,,,,,
162,specialty_improvedtacticals,,,,unused,,,,,,,,,,
163,specialty_explosivewareffectiveness,,,,unused,,,,,,,,,,
164,specialty_intelkillsandassists,,,,unused,,,,,,,,,,
165,specialty_multikillboost,,,,unused,,,,,,,,,,
166,specialty_boostafterreload,,,,unused,,,,,,,,,,
168,specialty_extrascorewhilehealing,,,,unused,,,,,,,,,,
169,specialty_improvedobjectives,,,,unused,,,,,,,,,,
170,specialty_extraobjectivescore,,,,unused,,,,,,,,,,
171,specialty_tacticalinsertion,,,,unused,,,,,,,,,,
172,specialty_perkstreaks,,,,unused,,,,,,,,,,
173,specialty_randomgun,,,,unused,,,,,,,,,,
174,specialty_sessionProgressionA,,,,unused,,,,,,,,,,
177,specialty_class_airborne_enlisted,DIVISIONS_CAC_AIRBORNE_ENLISTED,division_training_airborne_level1,DIVISIONS_CAC_DESC_AIRBORNE_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
178,specialty_class_airborne_expert,DIVISIONS_CAC_AIRBORNE_EXPERT,division_training_airborne_level2,DIVISIONS_CAC_DESC_AIRBORNE_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
179,specialty_class_airborne_master,DIVISIONS_CAC_AIRBORNE_MASTER,division_training_airborne_level3,DIVISIONS_CAC_DESC_AIRBORNE_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
180,specialty_class_airborne_grandmaster,DIVISIONS_CAC_AIRBORNE_MASTER,division_training_airborne_level3,DIVISIONS_CAC_DESC_AIRBORNE_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
181,specialty_class_infantry_enlisted,DIVISIONS_CAC_INFANTRY_ENLISTED,division_training_infantry_level1,DIVISIONS_CAC_DESC_INFANTRY_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
182,specialty_class_infantry_expert,DIVISIONS_CAC_INFANTRY_EXPERT,division_training_infantry_level2,DIVISIONS_CAC_DESC_INFANTRY_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
183,specialty_class_infantry_master,DIVISIONS_CAC_INFANTRY_MASTER,division_training_infantry_level3,DIVISIONS_CAC_DESC_INFANTRY_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
184,specialty_class_infantry_grandmaster,DIVISIONS_CAC_INFANTRY_MASTER,division_training_infantry_level3,DIVISIONS_CAC_DESC_INFANTRY_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
185,specialty_class_armored_enlisted,DIVISIONS_CAC_ARMORED_ENLISTED,division_training_armored_level1,DIVISIONS_CAC_DESC_ARMORED_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
186,specialty_class_armored_expert,DIVISIONS_CAC_ARMORED_EXPERT,division_training_armored_level2,DIVISIONS_CAC_DESC_ARMORED_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
187,specialty_class_armored_master,DIVISIONS_CAC_ARMORED_MASTER,division_training_armored_level3,DIVISIONS_CAC_DESC_ARMORED_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
188,specialty_class_armored_grandmaster,DIVISIONS_CAC_ARMORED_MASTER,division_training_armored_level3,DIVISIONS_CAC_DESC_ARMORED_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
189,specialty_class_mountain_enlisted,DIVISIONS_CAC_MOUNTAIN_ENLISTED,division_training_mountain_level1,DIVISIONS_CAC_DESC_MOUNTAIN_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
190,specialty_class_mountain_expert,DIVISIONS_CAC_MOUNTAIN_EXPERT,division_training_mountain_level2,DIVISIONS_CAC_DESC_MOUNTAIN_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
191,specialty_class_mountain_master,DIVISIONS_CAC_MOUNTAIN_MASTER,division_training_mountain_level3,DIVISIONS_CAC_DESC_MOUNTAIN_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
192,specialty_class_mountain_grandmaster,DIVISIONS_CAC_MOUNTAIN_MASTER,division_training_mountain_level3,DIVISIONS_CAC_DESC_MOUNTAIN_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
193,specialty_class_expeditionary_enlisted,DIVISIONS_CAC_EXPEDITIONARY_ENLISTED,division_training_expeditionary_level1,DIVISIONS_CAC_DESC_EXPEDITIONARY_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
194,specialty_class_expeditionary_expert,DIVISIONS_CAC_EXPEDITIONARY_EXPERT,division_training_expeditionary_level2,DIVISIONS_CAC_DESC_EXPEDITIONARY_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
195,specialty_class_expeditionary_master,DIVISIONS_CAC_EXPEDITIONARY_MASTER,division_training_expeditionary_level3,DIVISIONS_CAC_DESC_EXPEDITIONARY_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
196,specialty_class_expeditionary_grandmaster,DIVISIONS_CAC_EXPEDITIONARY_MASTER,division_training_expeditionary_level3,DIVISIONS_CAC_DESC_EXPEDITIONARY_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
197,specialty_class_resistance_enlisted,DIVISIONS_CAC_DLC1_RESISTANCE_ENLISTED,division_training_resistance_level1,DIVISIONS_CAC_DLC1_DESC_RESISTANCE_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
198,specialty_class_resistance_expert,DIVISIONS_CAC_DLC1_RESISTANCE_EXPERT,division_training_resistance_level2,DIVISIONS_CAC_DLC1_DESC_RESISTANCE_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
199,specialty_class_resistance_master,DIVISIONS_CAC_DLC1_RESISTANCE_MASTER,division_training_resistance_level3,DIVISIONS_CAC_DLC1_DESC_RESISTANCE_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
200,specialty_class_resistance_grandmaster,DIVISIONS_CAC_DLC1_RESISTANCE_MASTER,division_training_resistance_level3,DIVISIONS_CAC_DLC1_DESC_RESISTANCE_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
201,specialty_class_grenadier_enlisted,DIVISIONS_CAC_DLC3_GRENADIER_ENLISTED,division_training_grenadier_level1,DIVISIONS_CAC_DLC3_DESC_GRENADIER_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
202,specialty_class_grenadier_expert,DIVISIONS_CAC_DLC3_GRENADIER_EXPERT,division_training_grenadier_level2,DIVISIONS_CAC_DLC3_DESC_GRENADIER_EXPERT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
203,specialty_class_grenadier_master,DIVISIONS_CAC_DLC3_GRENADIER_MASTER,division_training_grenadier_level3,DIVISIONS_CAC_DLC3_DESC_GRENADIER_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
204,specialty_class_grenadier_grandmaster,DIVISIONS_CAC_DLC3_GRENADIER_MASTER,division_training_grenadier_level3,DIVISIONS_CAC_DLC3_DESC_GRENADIER_MASTER,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
205,specialty_class_commando_enlisted,DIVISIONS_CAC_DLC4_COMMANDO_ENLISTED,division_training_commando_level1,DIVISIONS_CAC_DLC4_DESC_COMMANDO_ENLISTED,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,,,,,
