a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,
17,AEC_DAILY,daily_ch_dive_kill,AEC_DAILY_DIVE_KILL_TITLE,AEC_DAILY_DIVE_KILL_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
18,AEC_DAILY,daily_ch_grenade_tires,AEC_DAILY_GRENADE_TIRES_TITLE,AEC_DAILY_GRENADE_TIRES_DESC,,AEC_EASY,,5,AEC_UNIT_TIRES_EXPLODED,,,,,,,,,,,,
19,AEC_DAILY,daily_ch_watch_sd,AEC_DAILY_WATCH_SD_TITLE,AEC_DAILY_WATCH_SD_DESC,,AEC_EASY,,3,AEC_UNIT_SUPPLY_DROP_OPENINGS,,,,,,,,,,,,
20,AEC_WEEKLY,daily_ch_kills_tdm,AEC_DAILY_KILLS_TDM_TITLE,AEC_DAILY_KILLS_TDM_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
21,AEC_DAILY,daily_ch_silenced_smg,AEC_DAILY_SILENCED_SMG_TITLE,AEC_DAILY_SILENCED_SMG_DESC,,AEC_EASY,,10,AEC_UNIT_SILENCED_KILLS,,,,,,,,,,,,
22,AEC_DAILY,daily_ch_tactical_kills,AEC_DAILY_TACTICAL_KILLS_TITLE,AEC_DAILY_TACTICAL_KILLS_DESC,,AEC_MEDIUM,,5,AEC_UNIT_TACTICAL_KILLS,,,,,,,,,,,,
23,AEC_DAILY,daily_ch_pos_kd_hp,AEC_DAILY_POSITIVE_KD_HP_TITLE,AEC_DAILY_POSITIVE_KD_HP_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
24,AEC_WEEKLY,weekly_ch_range_sequence,AEC_WEEKLY_RANGE_SEQ_TITLE,AEC_WEEKLY_RANGE_SEQ_DESC,,AEC_EASY,,2,AEC_UNIT_SEQUENCES_TRIGGERED,,,,,,,,,,,,
25,AEC_WEEKLY,weekly_ch_scorestreak_calls,AEC_WEEKLY_SCORESTREAK_USE_TITLE,AEC_WEEKLY_SCORESTREAK_USE_DESC,,AEC_MEDIUM,,30,AEC_UNIT_SCORESTREAKS_CALLED,,,,,,,,,,,,
26,AEC_WEEKLY,weekly_ch_flak_gun_event,AEC_WEEKLY_FLAK_GUN_EVENT_TITLE,AEC_WEEKLY_FLAK_GUN_EVENT_DESC,,AEC_EASY,,1,,,,WINTER,,,,,,,,,
27,AEC_WEEKLY,weekly_ch_fire_kills,AEC_WEEKLY_FIRE_KILLS_TITLE,AEC_WEEKLY_FIRE_KILLS_DESC,,AEC_MEDIUM,,75,AEC_UNIT_FIRE_KILLS,,,,,,,,,,,,
28,AEC_WEEKLY,weekly_ch_war_party_win,AEC_WEEKLY_WAR_PARTY_WIN_TITLE,AEC_WEEKLY_WAR_PARTY_WIN_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
29,AEC_WEEKLY,weekly_ch_kills,AEC_WEEKLY_KILLS_TITLE,AEC_WEEKLY_KILLS_DESC,,AEC_EASY,,500,AEC_UNIT_KILLS,,,,,,,,,,,,
30,AEC_WEEKLY,weekly_ch_wins,AEC_WEEKLY_WINS_TITLE,AEC_WEEKLY_WINS_DESC,,AEC_EASY,,25,AEC_UNIT_WINS,,,,,,,,,,,,
31,AEC_WEEKLY,weekly_challenge_8,,,,,,,,,,,,,,,,,,,
32,AEC_WEEKLY,weekly_challenge_9,,,,,,,,,,,,,,,,,,,
33,AEC_CONTRACT,contract_mp_1,AEC_CONTRACT_WIN_TDM_TITLE,AEC_CONTRACT_WIN_TDM_DESC,,AEC_EASY,,3,AEC_UNIT_MATCHES_WON,1350,0x5000001,,,,,,,,,,
34,AEC_CONTRACT,contract_mp_2,AEC_CONTRACT_HEADSHOTS_TITLE,AEC_CONTRACT_HEADSHOTS_DESC,,AEC_HARD,,15,AEC_UNIT_HEADSHOTS,300,0x5000002,,,,,,,,,,
35,AEC_CONTRACT,contract_mp_3,AEC_CONTRACT_DOUBLE_KILLS_TITLE,AEC_CONTRACT_DOUBLE_KILLS_DESC,,AEC_MEDIUM,,5,AEC_UNIT_DOUBLE_KILLS,600,0x5000003,,,,,,,,,,
36,AEC_DAILY,daily_ch_dragons_breath_kills,AEC_DAILY_DRAGON_BREATH_TITLE,AEC_DAILY_DRAGON_BREATH_DESC,,AEC_EASY,,10,AEC_UNIT_DRAGON_FIRE_KILLS,,,,,,,,,,,,
37,AEC_DAILY,daily_ch_equipment_kills,AEC_DAILY_EQUIPMENT_KILLS_TITLE,AEC_DAILY_EQUIPMENT_KILLS_DESC,,AEC_EASY,,5,AEC_UNIT_EQUIPMENT_KILLS,,,,,,,,,,,,
38,AEC_DAILY,daily_ch_3_scorestreak_streak,AEC_DAILY_SCORESTREAK_STREAK_TITLE,AEC_DAILY_SCORESTREAK_STREAK_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
39,AEC_DAILY,daily_ch_pass_hidden_item,AEC_DAILY_PASS_HIDDEN_ITEM_TITLE,AEC_DAILY_PASS_HIDDEN_ITEM_DESC,,AEC_EASY,,1,,,,,,,,,,,,,
40,AEC_DAILY,daily_ch_collect_enemy_tags,AEC_DAILY_ENEMY_DOGTAGS_TITLE,AEC_DAILY_ENEMY_DOGTAGS_DESC,,AEC_EASY,,20,AEC_UNIT_KILLS_CONFIRMED,,,,,,,,,,,,
41,AEC_DAILY,daily_ch_multi_grenade_kill,AEC_MULTI_GRENADE_KILL_TITLE,AEC_MULTI_GRENADE_KILL_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
42,AEC_DAILY,daily_ch_bayonet_charge_kills,AEC_DAILY_BAYONET_CHARGE_TITLE,AEC_DAILY_BAYONET_CHARGE_DESC,,AEC_EASY,,10,AEC_UNIT_BAYONET_KILLS,,,,,,,,,,,,
43,AEC_DAILY,daily_ch_3_1_kd,AEC_DAILY_3_1_KD_TITLE,AEC_DAILY_3_1_KD_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
44,AEC_SPECIAL,special_ch_range_sequence,AEC_SPECIAL_RANGE_SEQUENCE_TITLE,AEC_SPECIAL_RANGE_SEQUENCE_DESC,,AEC_MEDIUM,,1,,,,,,,,,,,,,
45,AEC_DAILY,daily_ch_assault_kills,AEC_DAILY_ASSAULT_KILLS_TITLE,AEC_DAILY_ASSAULT_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_ASSAULT_RIFLE_KILLS,,,,,,,,,,,,
46,AEC_DAILY,daily_ch_smg_kills,AEC_DAILY_SMG_KILLS_TITLE,AEC_DAILY_SMG_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_SMG_KILLS,,,,,,,,,,,,
47,AEC_DAILY,daily_ch_lmg_kills,AEC_DAILY_LMG_KILLS_TITLE,AEC_DAILY_LMG_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_LMG_KILLS,,,,,,,,,,,,
48,AEC_DAILY,daily_ch_shotgun_kills,AEC_DAILY_SHOTGUN_KILLS_TITLE,AEC_DAILY_SHOTGUN_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_SHOTGUN_KILLS,,,,,,,,,,,,
49,AEC_DAILY,daily_ch_pistol_kills,AEC_DAILY_PISTOL_KILLS_TITLE,AEC_DAILY_PISTOL_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_PISTOL_KILLS,,,,,,,,,,,,
50,AEC_DAILY,daily_ch_launcher_kills,AEC_DAILY_LAUNCHER_KILLS_TITLE,AEC_DAILY_LAUNCHER_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_LAUNCHER_KILLS,,,,,,,,,,,,
51,AEC_DAILY,daily_ch_onevonve_perfect_win,AEC_DAILY_1V1_PERFECT_TITLE,AEC_DAILY_1V1_PERFECT_DESC,,AEC_HARD,,1,,,,,,,,,,,,,
141,AEC_CONTRACT,contract_20_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_MEDIUM,,20,AEC_UNIT_KILLS,600,0x5000004,,,,,,,,,,
142,AEC_CONTRACT,contract_5_headshots_tdm_dlc1,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_HARD,,3,AEC_UNIT_HEADSHOTS,1500,0x5000005,RESISTANCE,,,,,,,,,
143,AEC_CONTRACT,contract_35_division_skill_airborne,AEC_CONTRACT_SUPPRESSED_TITLE,AEC_CONTRACT_SUPPRESSED_DESC,,AEC_HARD,,35,AEC_UNIT_KILLS,600,0x5000006,,,,,,,,,,
144,AEC_CONTRACT,contract_15_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_KILLS,1200,0x5000007,,,,,,,,,,
145,AEC_CONTRACT,contract_25_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000008,,,,,,,,,,
146,AEC_CONTRACT,contract_55_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_HARD,,40,AEC_UNIT_KILLS,3600,0x5000009,WINTER,,,,,,,,,
147,AEC_CONTRACT,contract_65_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_HARD,,65,AEC_UNIT_KILLS,1200,0x500000a,,,,,,,,,,
148,AEC_CONTRACT,contract_35_kills_dlc1,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_KILLS,1800,0x500000b,RESISTANCE,,,,,,,,,
149,AEC_CONTRACT,contract_45_kills,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,2400,0x500000c,WINTER,,,,,,,,,
150,AEC_CONTRACT,contract_100_kills,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_KILLS_DESC,,AEC_HARD,,100,AEC_UNIT_KILLS,2400,0x500000d,,,,,,,,,,
151,AEC_CONTRACT,contract_130_kills,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_KILLS_DESC,,AEC_HARD,,130,AEC_UNIT_KILLS,2400,0x500000e,,,,,,,,,,
152,AEC_CONTRACT,contract_15_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_KILLS,1200,0x500000f,,,,,,,,,,
153,AEC_CONTRACT,contract_25_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000010,,,,,,,,,,
154,AEC_CONTRACT,contract_55_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_HARD,,40,AEC_UNIT_KILLS,3600,0x5000011,WINTER,,,,,,,,,
155,AEC_CONTRACT,contract_75_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_HARD,,65,AEC_UNIT_KILLS,1800,0x5000012,WINTER,,,,,,,,,
156,AEC_CONTRACT,contract_20_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_EASY,,20,AEC_UNIT_KILLS,1200,0x5000013,,,,,,,,,,
157,AEC_CONTRACT,contract_35_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_MEDIUM,,35,AEC_UNIT_KILLS,1200,0x5000014,,,,,,,,,,
158,AEC_CONTRACT,contract_50_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_HARD,,50,AEC_UNIT_KILLS,1200,0x5000015,,,,,,,,,,
159,AEC_CONTRACT,contract_95_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_HARD,,85,AEC_UNIT_KILLS,1800,0x5000016,,,,,,,,,,
160,AEC_CONTRACT,contract_1_headshots_tdm,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,1200,0x5000017,,,,,,,,,,
161,AEC_CONTRACT,contract_3_headshots_tdm,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_MEDIUM,,2,AEC_UNIT_HEADSHOTS,1200,0x5000018,,,,,,,,,,
162,AEC_CONTRACT,contract_5_headshots_tdm,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_HARD,,4,AEC_UNIT_HEADSHOTS,1200,0x5000019,,,,,,,,,,
163,AEC_CONTRACT,contract_6_headshots_tdm,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_HARD,,6,AEC_UNIT_HEADSHOTS,1200,0x500001a,,,,,,,,,,
164,AEC_CONTRACT,contract_9_headshots,AEC_CONTRACT_GLOBAL_HEADSHOT_TITLE,AEC_CONTRACT_GLOBAL_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,2400,0x500001b,,,,,,,,,,
165,AEC_CONTRACT,contract_3_headshots,AEC_CONTRACT_GLOBAL_HEADSHOT_TITLE,AEC_CONTRACT_GLOBAL_HEADSHOTS_DESC,,AEC_MEDIUM,,3,AEC_UNIT_HEADSHOTS,1200,0x500001c,,,,,,,,,,
166,AEC_CONTRACT,contract_5_headshots,AEC_CONTRACT_GLOBAL_HEADSHOT_TITLE,AEC_CONTRACT_GLOBAL_HEADSHOTS_DESC,,AEC_HARD,,5,AEC_UNIT_HEADSHOTS,1200,0x500001d,,,,,,,,,,
167,AEC_CONTRACT,contract_13_headshots,AEC_CONTRACT_GLOBAL_HEADSHOT_TITLE,AEC_CONTRACT_GLOBAL_HEADSHOTS_DESC,,AEC_HARD,,6,AEC_UNIT_HEADSHOTS,2400,0x500001e,WINTER,,,,,,,,,
168,AEC_CONTRACT,contract_1_headshots_dom,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,1200,0x500001f,,,,,,,,,,
169,AEC_CONTRACT,contract_2_headshots_dom,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_MEDIUM,,2,AEC_UNIT_HEADSHOTS,1200,0x5000020,,,,,,,,,,
170,AEC_CONTRACT,contract_4_headshots_dom,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_HARD,,4,AEC_UNIT_HEADSHOTS,1200,0x5000021,,,,,,,,,,
171,AEC_CONTRACT,contract_6_headshots_dom,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_HARD,,6,AEC_UNIT_HEADSHOTS,1200,0x5000022,,,,,,,,,,
172,AEC_CONTRACT,contract_1_headshots_hp,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,1200,0x5000023,,,,,,,,,,
173,AEC_CONTRACT,contract_3_headshots_hp,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_MEDIUM,,3,AEC_UNIT_HEADSHOTS,1200,0x5000024,,,,,,,,,,
174,AEC_CONTRACT,contract_4_headshots_hp,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_HARD,,4,AEC_UNIT_HEADSHOTS,1200,0x5000025,,,,,,,,,,
175,AEC_CONTRACT,contract_7_headshots_hp,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_HARD,,7,AEC_UNIT_HEADSHOTS,1200,0x5000026,,,,,,,,,,
176,AEC_CONTRACT,contract_10_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_KILLS,600,0x5000027,,,,,,,,,,
177,AEC_CONTRACT,contract_10_kills,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_KILLS,600,0x5000028,,,,,,,,,,
178,AEC_CONTRACT,contract_10_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_KILLS,600,0x5000029,,,,,,,,,,
179,AEC_CONTRACT,contract_10_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_EASY,,10,AEC_UNIT_KILLS,600,0x500002a,,,,,,,,,,
180,AEC_CONTRACT,contract_35_kills_war,AEC_CONTRACT_WAR_KILL_TITLE,AEC_CONTRACT_WAR_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_KILLS,1800,0x500002b,,,,,,,,,,
181,AEC_CONTRACT,contract_35_kills_tdm,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_HARD,,35,AEC_UNIT_KILLS,600,0x500002c,,,,,,,,,,
182,AEC_CONTRACT,contract_35_kills_dom,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_HARD,,35,AEC_UNIT_KILLS,600,0x500002d,,,,,,,,,,
183,AEC_CONTRACT,contract_40_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_HARD,,40,AEC_UNIT_KILLS,600,0x500002e,,,,,,,,,,
184,AEC_CONTRACT,contract_55_kills_war,AEC_CONTRACT_WAR_KILL_TITLE,AEC_CONTRACT_WAR_KILLS_DESC,,AEC_HARD,,55,AEC_UNIT_KILLS,600,0x500002f,,,,,,,,,,
185,AEC_CONTRACT,contract_20_kills_tdm_long,AEC_CONTRACT_TDM_KILL_TITLE,AEC_CONTRACT_TDM_KILLS_DESC,,AEC_EASY,,20,AEC_UNIT_KILLS,1800,0x5000030,,,,,,,,,,
186,AEC_CONTRACT,contract_25_kills_dom_long,AEC_CONTRACT_DOM_KILL_TITLE,AEC_CONTRACT_DOM_KILLS_DESC,,AEC_EASY,,25,AEC_UNIT_KILLS,1800,0x5000031,,,,,,,,,,
187,AEC_CONTRACT,contract_30_kills_hp,AEC_CONTRACT_HP_KILL_TITLE,AEC_CONTRACT_HP_KILLS_DESC,,AEC_EASY,,30,AEC_UNIT_KILLS,1800,0x5000032,,,,,,,,,,
188,AEC_CONTRACT,contract_55_kills_war_dlc1,AEC_CONTRACT_WAR_KILL_TITLE,AEC_CONTRACT_WAR_KILLS_DESC,,AEC_EASY,,40,AEC_UNIT_KILLS,2400,0x5000033,RESISTANCE,,,,,,,,,
189,AEC_CONTRACT,contract_1_headshots_tdm_short,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,600,0x5000034,,,,,,,,,,
190,AEC_CONTRACT,contract_1_headshots_short,AEC_CONTRACT_GLOBAL_HEADSHOT_TITLE,AEC_CONTRACT_GLOBAL_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,600,0x5000035,,,,,,,,,,
191,AEC_CONTRACT,contract_1_headshots_dom_short,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,600,0x5000036,,,,,,,,,,
192,AEC_CONTRACT,contract_1_headshots_hp_short,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,600,0x5000037,,,,,,,,,,
193,AEC_CONTRACT,contract_1_headshots_war,AEC_CONTRACT_WAR_HEADSHOTS_TITLE,AEC_CONTRACT_WAR_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,600,0x5000038,,,,,,,,,,
194,AEC_CONTRACT,contract_3_headshots_tdm_short,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_HARD,,3,AEC_UNIT_HEADSHOTS,600,0x5000039,,,,,,,,,,
195,AEC_CONTRACT,contract_5_headshots_dom_dlc1,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_HARD,,3,AEC_UNIT_HEADSHOTS,1500,0x500003a,RESISTANCE,,,,,,,,,
196,AEC_CONTRACT,contract_3_headshots_hp_short,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_HARD,,3,AEC_UNIT_HEADSHOTS,600,0x500003b,,,,,,,,,,
197,AEC_CONTRACT,contract_4_headshots_war,AEC_CONTRACT_WAR_HEADSHOTS_TITLE,AEC_CONTRACT_WAR_HEADSHOTS_DESC,,AEC_HARD,,4,AEC_UNIT_HEADSHOTS,600,0x500003c,,,,,,,,,,
198,AEC_CONTRACT,contract_1_headshots_tdm_long,AEC_CONTRACT_TDM_HEADSHOTS_TITLE,AEC_CONTRACT_TDM_HEADSHOTS_DESC,,AEC_EASY,,1,AEC_UNIT_HEADSHOTS,1800,0x500003d,,,,,,,,,,
199,AEC_CONTRACT,contract_2_headshots_dom_long,AEC_CONTRACT_DOM_HEADSHOTS_TITLE,AEC_CONTRACT_DOM_HEADSHOTS_DESC,,AEC_EASY,,2,AEC_UNIT_HEADSHOTS,1800,0x500003e,,,,,,,,,,
200,AEC_CONTRACT,contract_2_headshots_hp,AEC_CONTRACT_HP_HEADSHOTS_TITLE,AEC_CONTRACT_HP_HEADSHOTS_DESC,,AEC_EASY,,2,AEC_UNIT_HEADSHOTS,1800,0x500003f,,,,,,,,,,
201,AEC_CONTRACT,contract_2_headshots_war,AEC_CONTRACT_WAR_KILL_TITLE,AEC_CONTRACT_WAR_HEADSHOTS_DESC,,AEC_EASY,,2,AEC_UNIT_HEADSHOTS,1800,0x5000040,,,,,,,,,,
202,AEC_CONTRACT,contract_25_kills_rifle,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_RIFLE_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000041,,,,,,,,,,
203,AEC_CONTRACT,contract_25_kills_smg,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_SMG_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000042,,,,,,,,,,
204,AEC_CONTRACT,contract_25_kills_lmg,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_LMG_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000043,,,,,,,,,,
205,AEC_CONTRACT,contract_25_kills_shotgun,AEC_CONTRACT_GLOBAL_KILL_TITLE,AEC_CONTRACT_GLOBAL_SHOTGUN_KILLS_DESC,,AEC_MEDIUM,,25,AEC_UNIT_KILLS,1200,0x5000044,,,,,,,,,,
206,AEC_CONTRACT,contract_3_multikills,AEC_CONTRACT_GLOBAL_MULTIKILL_TITLE,AEC_CONTRACT_GLOBAL_MULTIKILLS_DESC,,AEC_MEDIUM,,3,AEC_UNIT_MULTIKILLS,3600,0x5000045,,,,,,,,,,
207,AEC_CONTRACT,contract_10_kills_shovel,AEC_CONTRACT_GLOBAL_SHOVEL_TITLE,AEC_CONTRACT_GLOBAL_SHOVEL_KILLS,,AEC_MEDIUM,,10,AEC_UNIT_KILLS,600,0x5000046,,,,,,,,,,
208,AEC_CONTRACT,contract_10_kills_dive,AEC_CONTRACT_GLOBAL_DIVE_TITLE,AEC_CONTRACT_GLOBAL_DIVE_KILLS_DESC,,AEC_MEDIUM,,10,AEC_UNIT_KILLS,1200,0x5000047,,,,,,,,,,
209,AEC_DAILY,daily_ch_sniper_kills,AEC_DAILY_SNIPER_KILLS_TITLE,AEC_DAILY_SNIPER_KILLS_DESC,,AEC_EASY,,15,AEC_UNIT_SNIPER_KILLS,,,,,,,,,,,,
