col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,
ch_marksman_type5_mp,CHALLENGE_MTX4_MARKSMAN_TYPE5_MP,CHALLENGE_MTX4_MARKSMAN_TYPE5_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8012,,,,,,,,,,,,,,,,,,,mtx4,,
ch_marksman_sterling_mp,CHALLENGE_MTX4_MARKSMAN_STERLING_MP,CHALLENGE_MTX4_MARKSMAN_STERLING_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8013,,,,,,,,,,,,,,,,,,,mtx4,,
ch_marksman_arisaka_mp,CHALLENGE_MTX4_MARKSMAN_ARISAKA_MP,CHALLENGE_MTX4_MARKSMAN_ARISAKA_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,8014,,,,,,,,,,,,,,,,,,,mtx4,,
ch_marksman_nambu_mp,CHALLENGE_MTX5_MARKSMAN_NAMBU_MP,CHALLENGE_MTX5_MARKSMAN_NAMBU_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11005,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_m1919_mp,CHALLENGE_MTX5_MARKSMAN_M1919_MP,CHALLENGE_MTX5_MARKSMAN_M1919_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11006,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_leveraction_mp,CHALLENGE_MTX5_MARKSMAN_LEVERACTION_MP,CHALLENGE_MTX5_MARKSMAN_LEVERACTION_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11007,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_ptrs41_mp,CHALLENGE_MTX5_MARKSMAN_PTRS41_MP,CHALLENGE_MTX5_MARKSMAN_PTRS41_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11008,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_blunderbuss_mp,CHALLENGE_MTX5_MARKSMAN_BLUNDERBUSS_MP,CHALLENGE_MTX5_MARKSMAN_BLUNDERBUSS_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11009,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_avs36_mp,CHALLENGE_MTX6_MARKSMAN_AVS36_MP,CHALLENGE_MTX6_MARKSMAN_AVS36_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11122,,,,,,,,,,,,,,,,,,,mtx6,,
ch_marksman_zk383_mp,CHALLENGE_MTX6_MARKSMAN_ZK383_MP,CHALLENGE_MTX6_MARKSMAN_ZK383_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11123,,,,,,,,,,,,,,,,,,,mtx5,,
ch_marksman_delisle_mp,CHALLENGE_MTX6_MARKSMAN_DELISLE_MP,CHALLENGE_MTX6_MARKSMAN_DELISLE_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11124,,,,,,,,,,,,,,,,,,,mtx6,,
ch_marksman_federov_mp,CHALLENGE_MTX7_MARKSMAN_FEDEROV_MP,CHALLENGE_MTX7_MARKSMAN_FEDEROV_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11217,,,,,,,,,,,,,,,,,,,mtx7,,
ch_marksman_ribeyrolles_mp,CHALLENGE_MTX7_MARKSMAN_RIBEYROLLES_MP,CHALLENGE_MTX7_MARKSMAN_RIBEYROLLES_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11218,,,,,,,,,,,,,,,,,,,mtx7,,
ch_marksman_mosin_mp,CHALLENGE_MTX7_MARKSMAN_MOSIN_MP,CHALLENGE_MTX7_MARKSMAN_MOSIN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11219,,,,,,,,,,,,,,,,,,,mtx7,,
ch_marksman_sudaev_mp,CHALLENGE_MTX8_MARKSMAN_SUDAEV_MP,CHALLENGE_MTX8_MARKSMAN_SUDAEV_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11220,,,,,,,,,,,,,,,,,,,mtx7,,
ch_marksman_tokyo_mp,CHALLENGE_MTX8_MARKSMAN_TOKYO_MP,CHALLENGE_MTX8_MARKSMAN_TOKYO_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11250,,,,,,,,,,,,,,,,,,,mtx8,,
ch_marksman_vmg1927_mp,CHALLENGE_MTX8_MARKSMAN_VMG1927_MP,CHALLENGE_MTX8_MARKSMAN_VMG1927_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11286,,,,,,,,,,,,,,,,,,,mtx8,,
ch_marksman_charlton_mp,CHALLENGE_MTX9_MARKSMAN_CHARLTON_MP,CHALLENGE_MTX9_MARKSMAN_CHARLTON_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11359,,,,,,,,,,,,,,,,,,,mtx9,,
ch_marksman_emp44_mp,CHALLENGE_MTX9_MARKSMAN_EMP44_MP,CHALLENGE_MTX9_MARKSMAN_EMP44_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11360,,,,,,,,,,,,,,,,,,,mtx9,,
ch_marksman_sdk_mp,CHALLENGE_MTX9_MARKSMAN_SDK_MP,CHALLENGE_MTX9_MARKSMAN_SDK_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11361,,,,,,,,,,,,,,,,,,,mtx9,,
ch_marksman_dp28_mp,CHALLENGE_MTX9_MARKSMAN_DP28_MP,CHALLENGE_MTX9_MARKSMAN_DP28_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11362,,,,,,,,,,,,,,,,,,,mtx9,,
ch_marksman_kgm21_mp,CHALLENGE_MTX10_MARKSMAN_KGM21_MP,CHALLENGE_MTX10_MARKSMAN_KGM21_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11461,,,,,,,,,,,,,,,,,,,mtx10,,
ch_marksman_blyskawica_mp,CHALLENGE_MTX10_MARKSMAN_BLYSKAWICA_MP,CHALLENGE_MTX10_MARKSMAN_BLYSKAWICA_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11462,,,,,,,,,,,,,,,,,,,mtx10,,
ch_marksman_erma_mp,CHALLENGE_MTX10_MARKSMAN_ERMA_MP,CHALLENGE_MTX10_MARKSMAN_ERMA_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11463,,,,,,,,,,,,,,,,,,,mtx10,,
ch_marksman_lad_mp,CHALLENGE_MTX10_MARKSMAN_LAD_MP,CHALLENGE_MTX10_MARKSMAN_LAD_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11464,,,,,,,,,,,,,,,,,,,mtx10,,
ch_marksman_wz35_mp,CHALLENGE_MTX10_MARKSMAN_WZ35_MP,CHALLENGE_MTX10_MARKSMAN_WZ35_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11465,,,,,,,,,,,,,,,,,,,mtx10,,
ch_marksman_wimmer_mp,CHALLENGE_MTX11_MARKSMAN_WIMMER_MP,CHALLENGE_MTX11_MARKSMAN_WIMMER_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11466,,,,,,,,,,,,,,,,,,,mtx11,,
ch_marksman_m2hyde_mp,CHALLENGE_MTX11_MARKSMAN_M2HYDE_MP,CHALLENGE_MTX11_MARKSMAN_M2HYDE_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11467,,,,,,,,,,,,,,,,,,,mtx11,,
ch_marksman_austen_mp,CHALLENGE_MTX11_MARKSMAN_AUSTEN_MP,CHALLENGE_MTX11_MARKSMAN_AUSTEN_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11468,,,,,,,,,,,,,,,,,,,mtx11,,
ch_marksman_chatelleroult_mp,CHALLENGE_MTX11_MARKSMAN_CHATELLEROULT_MP,CHALLENGE_MTX11_MARKSMAN_CHATELLEROULT_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11469,,,,,,,,,,,,,,,,,,,mtx11,,
ch_marksman_mas36_mp,CHALLENGE_MTX11_MARKSMAN_MAS36_MP,CHALLENGE_MTX11_MARKSMAN_MAS36_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11470,,,,,,,,,,,,,,,,,,,mtx11,,
ch_marksman_grofuss_mp,CHALLENGE_MTX12_MARKSMAN_GROFUSS_MP,CHALLENGE_MTX12_MARKSMAN_GROFUSS_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11471,,,,,,,,,,,,,,,,,,,mtx12,,
ch_marksman_bechowiec_mp,CHALLENGE_MTX12_MARKSMAN_BECHOWIEC_MP,CHALLENGE_MTX12_MARKSMAN_BECHOWIEC_MP_DESC,CHALLENGE_MARKSMAN,1,marksman,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,11472,,,,,,,,,,,,,,,,,,,mtx12,,
ch_camo_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_BAR_DESC,,1,camo_total_mastery,0,,,5,500,10,1000,15,1500,20,2000,30,2500,40,3000,50,3500,75,4000,100,5000,1110,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camoT2_longshot_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_LONGSHOT_BAR_DESC,,1,camo_total_mastery,0,ch_camo_bar_mp,,10,2000,,,,,,,,,,,,,,,,,1137,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camoT2_maindivision_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_MAINDIVISION_BAR,,1,camo_total_mastery,0,ch_camo_bar_mp,,50,2000,,,,,,,,,,,,,,,,,1168,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camoT2_altdivision_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_ALTDIVISION_BAR,,1,camo_total_mastery,0,ch_camo_bar_mp,,50,2000,,,,,,,,,,,,,,,,,1216,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camoT2_doublekill_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_DOUBLEKILL_BAR,,1,camo_total_mastery,0,ch_camo_bar_mp,,5,2000,,,,,,,,,,,,,,,,,1217,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camoT2_killstreak5_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_KILLSTREAK5_BAR,,1,camo_total_mastery,0,ch_camo_bar_mp,,5,2000,,,,,,,,,,,,,,,,,1218,,,,,,,,,,,,,,,ch_camo_mastery_bar_mp,,,,,,
ch_camo_mastery_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_MASTERY_BAR,,1,camo_total_mastery,0,ch_camo_bar_mp,,6,5000,,,,,,,,,,,,,,,,,1219,,,,,,,,,,,,,,,ch_camo_mastery_ar,,,,,,
ch_camoT3_doublekill_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_DOUBLEKILL_BAR,,1,camo_total_mastery,0,,,25,2000,,,,,,,,,,,,,,,,,8191,,,,,,,,,,,,,,,,,,,,,
ch_camoT4_triplekill_bar_mp,CHALLENGE_CAMO_REQUIREMENTS,CHALLENGE_CAMO_TRIPLEKILL_BAR,,1,camo_total_mastery,0,,,25,2000,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,ch_camo_prestige_mastery,,,,,,
