botPersonalities,default|run_and_gun,default|run_and_gun,default|run_and_gun,default|run_and_gun,cqb,cqb,cqb,cqb,camper,camper,camper,camper,
loadoutSecondaryAttachmentGUID2,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,none,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutSecondaryAttachmentGUID3,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachmentGUID4,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachmentGUID5,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachmentGUID6,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamoGUID,none,none,camotable,camotable,none,none,camotable,camotable,none,none,camotable,camotable,
loadoutSecondaryCamo2GUID,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticleGUID,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentGUID,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutEquipmentNumExtra,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutOffhandGUID,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutOffhandNumExtra,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,specialty_class_assigned,
loadoutPerkGUID1,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,division_assigned,
loadoutPerkGUID2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID5,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID6,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID7,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID8,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerkGUID9,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutStreakGUID1,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any,template_any,template_any,template_any,template_any_camper,template_any_camper,template_any_camper,template_any_camper,
loadoutStreakGUID2,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any,template_any,template_any,template_any,template_any_camper,template_any_camper,template_any_camper,template_any_camper,
loadoutStreakGUID3,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any_noncamper,template_any,template_any,template_any,template_any,template_any_camper,template_any_camper,template_any_camper,template_any_camper,
loadoutStreakGUID4,none,none,none,none,none,none,none,none,none,none,none,none,
