a1,b2,c3,d4,e5,f6,g7,h8,i9,j10,k11,l12,
aperture_sight_mg42,attachmentUnlock,0,,,,,,,,,,
aperture_sight_mg81,attachmentUnlock,0,,,,,,,,,,
aperture_sight_model21,attachmentUnlock,0,,,,,,,,,,
aperture_sight_mp28,attachmentUnlock,0,,,,,,,,,,
aperture_sight_mp40,attachmentUnlock,0,,,,,,,,,,
aperture_sight_nambu,attachmentUnlock,0,,,,,,,,,,
aperture_sight_ppsh41,attachmentUnlock,0,,,,,,,,,,
aperture_sight_ribeyrolles,attachmentUnlock,0,,,,,,,,,,
aperture_sight_sten,attachmentUnlock,0,,,,,,,,,,
aperture_sight_sterling,attachmentUnlock,0,,,,,,,,,,
aperture_sight_stg44,attachmentUnlock,0,,,,,,,,,,
aperture_sight_sudaev,attachmentUnlock,0,,,,,,,,,,
aperture_sight_svt40,attachmentUnlock,0,,,,,,,,,,
aperture_sight_thompson,attachmentUnlock,0,,,,,,,,,,
aperture_sight_tokyo,attachmentUnlock,0,,,,,,,,,,
aperture_sight_type100,attachmentUnlock,0,,,,,,,,,,
aperture_sight_type5,attachmentUnlock,0,,,,,,,,,,
aperture_sight_type99,attachmentUnlock,0,,,,,,,,,,
aperture_sight_vmg1927,attachmentUnlock,0,,,,,,,,,,
aperture_sight_volk,attachmentUnlock,0,,,,,,,,,,
aperture_sight_walther,attachmentUnlock,0,,,,,,,,,,
aperture_sight_wimmer,attachmentUnlock,0,,,,,,,,,,
aperture_sight_zk383,attachmentUnlock,0,,,,,,,,,,
arisaka bronze,weaponCamo,0,ch_camoT2_doublekill_arisaka_mp,,,,,,,,,
arisaka brownspot,weaponCamo,0,ch_camo_arisaka_mp_2,,,,,,,,,
arisaka camo_pap_04,weaponCamo,0,,,,,,,,,,
arisaka chrome,weaponCamo,0,ch_camo_mastery,,,,,,,,,
arisaka chrome_tiger,weaponCamo,0,ch_camo_prestige_mastery,,,,,,,,,
arisaka copper,weaponCamo,0,ch_camoT2_killstreak5_arisaka_mp,,,,,,,,,
arisaka diamond,weaponCamo,0,ch_camo_mastery_sniper,,,,,,,,,
arisaka gold,weaponCamo,0,ch_camo_mastery_arisaka_mp,,,,,,,,,
arisaka gold_cheetah,weaponCamo,0,ch_camoT4_headshot_arisaka_mp,,,,,,,,,
arisaka gold_leopard,weaponCamo,0,ch_camoT3_doublekill_arisaka_mp,,,,,,,,,
arisaka greenspot,weaponCamo,0,ch_camo_arisaka_mp_1,,,,,,,,,
arisaka heeres,weaponCamo,0,ch_camo_arisaka_mp_3,,,,,,,,,
arisaka leibermuster,weaponCamo,0,ch_camo_arisaka_mp_4,,,,,,,,,
arisaka leopard,weaponCamo,0,ch_camoT2_altdivision_arisaka_mp,,,,,,,,,
arisaka m1916,weaponCamo,0,ch_camoT2_revenge_arisaka_mp,,,,,,,,,
arisaka oakleaf,weaponCamo,0,ch_camo_arisaka_mp_6,,,,,,,,,
arisaka palmtree,weaponCamo,0,ch_camo_arisaka_mp_7,,,,,,,,,
arisaka panzer,weaponCamo,0,ch_camo_arisaka_mp_9,,,,,,,,,
arisaka peapattern,weaponCamo,0,ch_camo_arisaka_mp_5,,,,,,,,,
arisaka planetree,weaponCamo,0,ch_camo_arisaka_mp_8,,,,,,,,,
arisaka ret1_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_1,,,,,,,,,
arisaka ret10_scope,weaponReticle,0,ch_reticle_optic_streaking_arisaka_mp,,,,,,,,,
arisaka ret2_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_2,,,,,,,,,
arisaka ret3_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_3,,,,,,,,,
arisaka ret4_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_4,,,,,,,,,
arisaka ret5_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_5,,,,,,,,,
arisaka ret6_scope,weaponReticle,0,ch_reticle_optic_kill_arisaka_mp_6,,,,,,,,,
arisaka ret7_scope,weaponReticle,0,ch_reticle_optic_headshot_arisaka_mp,,,,,,,,,
arisaka ret8_scope,weaponReticle,0,ch_reticle_optic_longshot_arisaka_mp,,,,,,,,,
arisaka ret9_scope,weaponReticle,0,ch_reticle_optic_doublekill_arisaka_mp,,,,,,,,,
arisaka snow,weaponCamo,0,ch_camoT2_maindivision_arisaka_mp,,,,,,,,,
arisaka zom_amp,loot,0,,,,,,,,,,
arisaka zom_amp_02,weaponCamo,0,,,,,,,,,,
arisaka zom_amp_03,loot,0,,,,,,,,,,
arisaka zom_amp_04,weaponCamo,0,,,,,,,,,,
arisaka zom_amp_05,weaponCamo,0,,,,,,,,,,
arisaka zom_camo_01,weaponCamo,0,,,,,,,,,,
arisaka zom_dlc2_rune_01,weaponCamo,0,,,,,,,,,,
arisaka zom_fog_01,loot,0,,,,,,,,,,
arisaka zom_frontline_01,weaponCamo,0,,,,,,,,,,
arisaka zom_madmin_01,weaponCamo,0,,,,,,,,,,
arisaka zom_preorder,loot,0,,,,,,,0x800092,,,
arisaka zom_skin_01,loot,0,,,,,,,,,,
arisaka zom_spat_01,weaponCamo,0,,,,,,,,,,
arisaka zom_spat_02,weaponCamo,0,,,,,,,,,,
arisaka zom_spat_03,weaponCamo,0,,,,,,,,,,
arisaka zom_twitch,weaponCamo,0,,,,,,,,,,
arisaka_loot0_mp,loot,0,,,,,,,,,,
arisaka_loot1_mp,loot,0,,,,,,,,,,
arisaka_loot2_mp,loot,0,,,,,,,,,,
arisaka_loot3_mp,loot,0,,,,,,,,,,
arisaka_mp,none,0,,,,,,,,,,
armory_credit_dummy_item,loot,0,,,,,,,,,,
armorycredit_common,loot,0,,,,,,,,,,
armorycredit_epic,loot,0,,,,,,,,,,
armorycredit_legendary,loot,0,,,,,,,,,,
armorycredit_rare,loot,0,,,,,,,,,,
austen bronze,weaponCamo,0,ch_camoT2_doublekill_austen_mp,,,,,,,,,
austen brownspot,weaponCamo,0,ch_camo_austen_mp_2,,,,,,,,,
austen camo_pap_04,weaponCamo,0,,,,,,,,,,
austen chrome,weaponCamo,0,ch_camo_mastery,,,,,,,,,
austen chrome_tiger,weaponCamo,0,ch_camo_prestige_mastery,,,,,,,,,
austen copper,weaponCamo,0,ch_camoT2_killstreak5_austen_mp,,,,,,,,,
austen diamond,weaponCamo,0,ch_camo_mastery_smg,,,,,,,,,
austen gold,weaponCamo,0,ch_camo_mastery_austen_mp,,,,,,,,,
austen gold_cheetah,weaponCamo,0,ch_camoT4_triplekill_austen_mp,,,,,,,,,
austen gold_leopard,weaponCamo,0,ch_camoT3_doublekill_austen_mp,,,,,,,,,
austen greenspot,weaponCamo,0,ch_camo_austen_mp_1,,,,,,,,,
austen heeres,weaponCamo,0,ch_camo_austen_mp_3,,,,,,,,,
austen leibermuster,weaponCamo,0,ch_camo_austen_mp_4,,,,,,,,,
austen leopard,weaponCamo,0,ch_camoT2_altdivision_austen_mp,,,,,,,,,
austen m1916,weaponCamo,0,ch_camoT2_revenge_austen_mp,,,,,,,,,
austen oakleaf,weaponCamo,0,ch_camo_austen_mp_6,,,,,,,,,
austen palmtree,weaponCamo,0,ch_camo_austen_mp_7,,,,,,,,,
austen panzer,weaponCamo,0,ch_camo_austen_mp_9,,,,,,,,,
austen peapattern,weaponCamo,0,ch_camo_austen_mp_5,,,,,,,,,
austen planetree,weaponCamo,0,ch_camo_austen_mp_8,,,,,,,,,
austen snow,weaponCamo,0,ch_camoT2_maindivision_austen_mp,,,,,,,,,
austen zom_amp,loot,0,,,,,,,,,,
austen zom_amp_02,weaponCamo,0,,,,,,,,,,
austen zom_amp_03,loot,0,,,,,,,,,,
austen zom_amp_04,weaponCamo,0,,,,,,,,,,
austen zom_amp_05,weaponCamo,0,,,,,,,,,,
austen zom_camo_01,weaponCamo,0,,,,,,,,,,
austen zom_dlc2_rune_01,weaponCamo,0,,,,,,,,,,
austen zom_fog_01,loot,0,,,,,,,,,,
austen zom_frontline_01,weaponCamo,0,,,,,,,,,,
austen zom_madmin_01,weaponCamo,0,,,,,,,,,,
austen zom_preorder,weaponCamo,0,,,,,,,0x800092,,,
austen zom_skin_01,weaponCamo,0,,,,,,,,,,
austen zom_spat_01,weaponCamo,0,,,,,,,,,,
austen zom_spat_02,weaponCamo,0,,,,,,,,,,
austen zom_spat_03,weaponCamo,0,,,,,,,,,,
austen zom_twitch,weaponCamo,0,,,,,,,,,,
austen_loot0_mp,loot,0,,,,,,,,,,
austen_loot1_mp,loot,0,,,,,,,,,,
austen_loot2_mp,loot,0,,,,,,,,,,
austen_loot3_mp,loot,0,,,,,,,,,,
austen_mp,weapon,0,,,,,,,,,,
australian_cavalry_eyewear_r1c1,loot,0,,,,,,,,,,
australian_cavalry_eyewear_r2c1,loot,0,,,,,,,,,,
australian_cavalry_eyewear_r3c1,loot,0,,,,,,,,,,
australian_cavalry_eyewear_r4c1,loot,0,,,,,,,,,,
australian_cavalry_eyewear_r4c3,loot,0,,,,,,,,,,
australian_cavalry_eyewear_skin1,loot,0,,,,,,,,,,
australian_cavalry_gear_r1c1,loot,0,,,,,,,,,,
australian_cavalry_gear_r2c1,loot,0,,,,,,,,,,
australian_cavalry_gear_r3c1,loot,0,,,,,,,,,,
australian_cavalry_gear_r4c1,loot,0,,,,,,,,,,
australian_cavalry_gear_r4c3,loot,0,,,,,,,,,,
australian_cavalry_gear_skin1,loot,0,,,,,,,,,,
australian_cavalry_hat_r1c1,loot,0,,,,,,,,,,
australian_cavalry_hat_r2c1,loot,0,,,,,,,,,,
australian_cavalry_hat_r3c1,loot,0,,,,,,,,,,
australian_cavalry_hat_r4c1,loot,0,,,,,,,,,,
australian_cavalry_hat_r4c3,loot,0,,,,,,,,,,
australian_cavalry_hat_skin1,loot,0,,,,,,,,,,
australian_cavalry_pants_r1c1,loot,0,,,,,,,,,,
australian_cavalry_pants_r2c1,loot,0,,,,,,,,,,
australian_cavalry_pants_r3c1,loot,0,,,,,,,,,,
australian_cavalry_pants_r4c1,loot,0,,,,,,,,,,
australian_cavalry_pants_r4c3,loot,0,,,,,,,,,,
australian_cavalry_pants_skin1,loot,0,,,,,,,,,,
australian_cavalry_r1c1,loot,0,,,,,,,,,,
australian_cavalry_r2c1,loot,0,,,,,,,,,,
australian_cavalry_r3c1,loot,0,,,,,,,,,,
australian_cavalry_r4c1,loot,0,,,,,,,,,,
australian_cavalry_r4c3,loot,0,,,,,,,,,,
australian_cavalry_shirt_r1c1,loot,0,,,,,,,,,,
australian_cavalry_shirt_r2c1,loot,0,,,,,,,,,,
australian_cavalry_shirt_r3c1,loot,0,,,,,,,,,,
australian_cavalry_shirt_r4c1,loot,0,,,,,,,,,,
australian_cavalry_shirt_r4c3,loot,0,,,,,,,,,,
australian_cavalry_shirt_skin1,loot,0,,,,,,,,,,
australian_cavalry_skin1,loot,0,,,,,,,,,,
australian_infantry_eyewear_r1c1,loot,0,,,,,,,,,,
australian_infantry_eyewear_r1c3,loot,0,,,,,,,,,,
australian_infantry_eyewear_r2c1,loot,0,,,,,,,,,,
australian_infantry_eyewear_r2c3,loot,0,,,,,,,,,,
australian_infantry_eyewear_r3c1,loot,0,,,,,,,,,,
australian_infantry_eyewear_r3c3,loot,0,,,,,,,,,,
australian_infantry_eyewear_r4c1,loot,0,,,,,,,,,,
australian_infantry_eyewear_r4c3,loot,0,,,,,,,,,,
australian_infantry_eyewear_skin2,loot,0,,,,,,,,,,
australian_infantry_gear_r1c1,loot,0,,,,,,,,,,
australian_infantry_gear_r1c3,loot,0,,,,,,,,,,
australian_infantry_gear_r2c1,loot,0,,,,,,,,,,
australian_infantry_gear_r2c3,loot,0,,,,,,,,,,
australian_infantry_gear_r3c1,loot,0,,,,,,,,,,
australian_infantry_gear_r3c3,loot,0,,,,,,,,,,
australian_infantry_gear_r4c1,loot,0,,,,,,,,,,
australian_infantry_gear_r4c3,loot,0,,,,,,,,,,
australian_infantry_gear_skin2,loot,0,,,,,,,,,,
australian_infantry_hat_r1c1,loot,0,,,,,,,,,,
australian_infantry_hat_r1c3,loot,0,,,,,,,,,,
australian_infantry_hat_r2c1,loot,0,,,,,,,,,,
australian_infantry_hat_r2c3,loot,0,,,,,,,,,,
australian_infantry_hat_r3c1,loot,0,,,,,,,,,,
australian_infantry_hat_r3c3,loot,0,,,,,,,,,,
australian_infantry_hat_r4c1,loot,0,,,,,,,,,,
australian_infantry_hat_r4c3,loot,0,,,,,,,,,,
australian_infantry_hat_skin2,loot,0,,,,,,,,,,
australian_infantry_pants_r1c1,loot,0,,,,,,,,,,
australian_infantry_pants_r1c3,loot,0,,,,,,,,,,
australian_infantry_pants_r2c1,loot,0,,,,,,,,,,
australian_infantry_pants_r2c3,loot,0,,,,,,,,,,
australian_infantry_pants_r3c1,loot,0,,,,,,,,,,
australian_infantry_pants_r3c3,loot,0,,,,,,,,,,
australian_infantry_pants_r4c1,loot,0,,,,,,,,,,
australian_infantry_pants_r4c3,loot,0,,,,,,,,,,
australian_infantry_pants_skin2,loot,0,,,,,,,,,,
australian_infantry_r1c1,loot,0,,,,,,,,,,
australian_infantry_r1c3,loot,0,,,,,,,,,,
australian_infantry_r2c1,loot,0,,,,,,,,,,
australian_infantry_r2c3,loot,0,,,,,,,,,,
australian_infantry_r3c1,loot,0,,,,,,,,,,
australian_infantry_r3c3,loot,0,,,,,,,,,,
australian_infantry_r4c1,loot,0,,,,,,,,,,
australian_infantry_r4c3,loot,0,,,,,,,,,,
australian_infantry_shirt_r1c1,loot,0,,,,,,,,,,
australian_infantry_shirt_r1c3,loot,0,,,,,,,,,,
australian_infantry_shirt_r2c1,loot,0,,,,,,,,,,
australian_infantry_shirt_r2c3,loot,0,,,,,,,,,,
australian_infantry_shirt_r3c1,loot,0,,,,,,,,,,
australian_infantry_shirt_r3c3,loot,0,,,,,,,,,,
australian_infantry_shirt_r4c1,loot,0,,,,,,,,,,
australian_infantry_shirt_r4c3,loot,0,,,,,,,,,,
australian_infantry_shirt_skin2,loot,0,,,,,,,,,,
australian_infantry_skin2,loot,0,,,,,,,,,,
avs36 bronze,weaponCamo,0,ch_camoT2_doublekill_avs36_mp,,,,,,,,,
avs36 brownspot,weaponCamo,0,ch_camo_avs36_mp_2,,,,,,,,,
avs36 camo_pap_04,weaponCamo,0,,,,,,,,,,
avs36 chrome,weaponCamo,0,ch_camo_mastery,,,,,,,,,
avs36 chrome_tiger,weaponCamo,0,ch_camo_prestige_mastery,,,,,,,,,
avs36 copper,weaponCamo,0,ch_camoT2_killstreak5_avs36_mp,,,,,,,,,
avs36 diamond,weaponCamo,0,ch_camo_mastery_ar,,,,,,,,,
avs36 gold,weaponCamo,0,ch_camo_mastery_avs36_mp,,,,,,,,,
avs36 gold_cheetah,weaponCamo,0,ch_camoT4_triplekill_avs36_mp,,,,,,,,,
avs36 gold_leopard,weaponCamo,0,ch_camoT3_doublekill_avs36_mp,,,,,,,,,
avs36 greenspot,weaponCamo,0,ch_camo_avs36_mp_1,,,,,,,,,
avs36 heeres,weaponCamo,0,ch_camo_avs36_mp_3,,,,,,,,,
avs36 leibermuster,weaponCamo,0,ch_camo_avs36_mp_4,,,,,,,,,
avs36 leopard,weaponCamo,0,ch_camoT2_altdivision_avs36_mp,,,,,,,,,
avs36 m1916,weaponCamo,0,ch_camoT2_longshot_avs36_mp,,,,,,,,,
avs36 oakleaf,weaponCamo,0,ch_camo_avs36_mp_6,,,,,,,,,
avs36 palmtree,weaponCamo,0,ch_camo_avs36_mp_7,,,,,,,,,
avs36 panzer,weaponCamo,0,ch_camo_avs36_mp_9,,,,,,,,,
avs36 peapattern,weaponCamo,0,ch_camo_avs36_mp_5,,,,,,,,,
avs36 planetree,weaponCamo,0,ch_camo_avs36_mp_8,,,,,,,,,
avs36 ret1_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_1,,,,,,,,,
avs36 ret1_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_1,,,,,,,,,
avs36 ret1_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_1,,,,,,,,,
avs36 ret10_lens,weaponReticle,0,ch_reticle_lens_streaking_avs36_mp,,,,,,,,,
avs36 ret10_reflex,weaponReticle,0,ch_reticle_nydar_streaking_avs36_mp,,,,,,,,,
avs36 ret10_scope,weaponReticle,0,ch_reticle_optic_streaking_avs36_mp,,,,,,,,,
avs36 ret2_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_2,,,,,,,,,
avs36 ret2_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_2,,,,,,,,,
avs36 ret2_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_2,,,,,,,,,
avs36 ret3_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_3,,,,,,,,,
avs36 ret3_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_3,,,,,,,,,
avs36 ret3_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_3,,,,,,,,,
avs36 ret4_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_4,,,,,,,,,
avs36 ret4_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_4,,,,,,,,,
avs36 ret4_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_4,,,,,,,,,
avs36 ret5_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_5,,,,,,,,,
avs36 ret5_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_5,,,,,,,,,
avs36 ret5_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_5,,,,,,,,,
avs36 ret6_lens,weaponReticle,0,ch_reticle_lens_kill_avs36_mp_6,,,,,,,,,
avs36 ret6_reflex,weaponReticle,0,ch_reticle_nydar_kill_avs36_mp_6,,,,,,,,,
avs36 ret6_scope,weaponReticle,0,ch_reticle_optic_kill_avs36_mp_6,,,,,,,,,
avs36 ret7_lens,weaponReticle,0,ch_reticle_lens_headshot_avs36_mp,,,,,,,,,
avs36 ret7_reflex,weaponReticle,0,ch_reticle_nydar_headshot_avs36_mp,,,,,,,,,
avs36 ret7_scope,weaponReticle,0,ch_reticle_optic_headshot_avs36_mp,,,,,,,,,
avs36 ret8_lens,weaponReticle,0,ch_reticle_lens_longshot_avs36_mp,,,,,,,,,
avs36 ret8_reflex,weaponReticle,0,ch_reticle_nydar_longshot_avs36_mp,,,,,,,,,
avs36 ret8_scope,weaponReticle,0,ch_reticle_optic_longshot_avs36_mp,,,,,,,,,
avs36 ret9_lens,weaponReticle,0,ch_reticle_lens_doublekill_avs36_mp,,,,,,,,,
avs36 ret9_reflex,weaponReticle,0,ch_reticle_nydar_doublekill_avs36_mp,,,,,,,,,
avs36 ret9_scope,weaponReticle,0,ch_reticle_optic_doublekill_avs36_mp,,,,,,,,,
avs36 snow,weaponCamo,0,ch_camoT2_maindivision_avs36_mp,,,,,,,,,
avs36 zom_amp,weaponCamo,0,,,,,,,,,,
avs36 zom_amp_02,weaponCamo,0,,,,,,,,,,
avs36 zom_amp_03,weaponCamo,0,,,,,,,,,,
avs36 zom_amp_04,weaponCamo,0,,,,,,,,,,
avs36 zom_amp_05,weaponCamo,0,,,,,,,,,,
avs36 zom_camo_01,weaponCamo,0,,,,,,,,,,
avs36 zom_dlc2_rune_01,weaponCamo,0,,,,,,,,,,
avs36 zom_fog_01,weaponCamo,0,,,,,,,,,,
avs36 zom_frontline_01,weaponCamo,0,,,,,,,,,,
avs36 zom_madmin_01,weaponCamo,0,,,,,,,,,,
avs36 zom_preorder,weaponCamo,0,,,,,,,0x800092,,,
avs36 zom_skin_01,weaponCamo,0,,,,,,,,,,
avs36 zom_spat_01,weaponCamo,0,,,,,,,,,,
avs36 zom_spat_02,weaponCamo,0,,,,,,,,,,
avs36 zom_spat_03,weaponCamo,0,,,,,,,,,,
avs36 zom_twitch,weaponCamo,0,,,,,,,,,,
avs36_loot0_mp,loot,0,,,,,,,,,,
avs36_loot1_mp,loot,0,,,,,,,,,,
avs36_loot2_mp,loot,0,,,,,,,,,,
avs36_loot3_mp,loot,0,,,,,,,,,,
avs36_mp,weapon,0,,,,,,,,,,
axe bronze,weaponCamo,0,ch_camoT2_takeandkill_axe_mp,,,,,,,,,
axe brownspot,weaponCamo,0,ch_camo_axe_mp_2,,,,,,,,,
axe camo_pap_04,weaponCamo,0,,,,,,,,,,
axe chrome,weaponCamo,0,ch_camo_mastery,,,,,,,,,
axe chrome_tiger,weaponCamo,0,ch_camo_prestige_mastery,,,,,,,,,
axe copper,weaponCamo,0,ch_camoT2_killstreak5_axe_mp,,,,,,,,,
axe diamond,weaponCamo,0,ch_camo_mastery_other,,,,,,,,,
axe gold,weaponCamo,0,ch_camo_mastery_axe_mp,,,,,,,,,
axe gold_cheetah,weaponCamo,0,ch_camoT4_doublekill_axe_mp,,,,,,,,,
axe gold_leopard,weaponCamo,0,ch_camoT3_backstab_axe_mp,,,,,,,,,
axe greenspot,weaponCamo,0,ch_camo_axe_mp_1,,,,,,,,,
axe heeres,weaponCamo,0,ch_camo_axe_mp_3,,,,,,,,,
axe leibermuster,weaponCamo,0,ch_camo_axe_mp_4,,,,,,,,,
axe leopard,weaponCamo,0,ch_camoT2_revenge_axe_mp,,,,,,,,,
axe m1916,weaponCamo,0,ch_camoT2_backstab_axe_mp,,,,,,,,,
axe oakleaf,weaponCamo,0,ch_camo_axe_mp_6,,,,,,,,,
axe palmtree,weaponCamo,0,ch_camo_axe_mp_7,,,,,,,,,
axe panzer,weaponCamo,0,ch_camo_axe_mp_9,,,,,,,,,
axe peapattern,weaponCamo,0,ch_camo_axe_mp_5,,,,,,,,,
axe planetree,weaponCamo,0,ch_camo_axe_mp_8,,,,,,,,,
axe snow,weaponCamo,0,ch_camoT2_neardeath_axe_mp,,,,,,,,,
axe zom_amp,loot,0,,,,,,,,,,
axe zom_amp_02,weaponCamo,0,,,,,,,,,,
axe zom_amp_03,loot,0,,,,,,,,,,
axe zom_amp_04,weaponCamo,0,,,,,,,,,,
axe zom_amp_05,weaponCamo,0,,,,,,,,,,
axe zom_camo_01,weaponCamo,0,,,,,,,,,,
axe zom_dlc2_rune_01,weaponCamo,0,,,,,,,,,,
axe zom_fog_01,loot,0,,,,,,,,,,
axe zom_frontline_01,weaponCamo,0,,,,,,,,,,
axe zom_madmin_01,weaponCamo,0,,,,,,,,,,
axe zom_preorder,weaponCamo,0,,,,,,,0x800092,,,
axe zom_skin_01,weaponCamo,0,,,,,,,,,,
axe zom_spat_01,weaponCamo,0,,,,,,,,,,
axe zom_spat_02,weaponCamo,0,,,,,,,,,,
axe zom_spat_03,weaponCamo,0,,,,,,,,,,
axe zom_twitch,weaponCamo,0,,,,,,,,,,
axe_loot0_mp,loot,0,,,,,,,,,,
axe_loot1_mp,loot,0,,,,,,,,,,
axe_loot2_mp,loot,0,,,,,,,,,,
axe_loot3_mp,loot,0,,,,,,,,,,
axe_mp,weapon,0,,,,,,,,,,
axis_engineer_eyewear_r1c1,loot,0,,,,,,,,,,
axis_engineer_eyewear_r2c1,loot,0,,,,,,,,,,
axis_engineer_eyewear_r3c1,loot,0,,,,,,,,,,
axis_engineer_gear_r1c1,loot,0,,,,,,,,,,
axis_engineer_gear_r2c1,loot,0,,,,,,,,,,
axis_engineer_gear_r3c1,loot,0,,,,,,,,,,
axis_engineer_hat_r1c1,loot,0,,,,,,,,,,
axis_engineer_hat_r2c1,loot,0,,,,,,,,,,
axis_engineer_hat_r3c1,loot,0,,,,,,,,,,
axis_engineer_pants_r1c1,loot,0,,,,,,,,,,
axis_engineer_pants_r2c1,loot,0,,,,,,,,,,
axis_engineer_pants_r3c1,loot,0,,,,,,,,,,
axis_engineer_r1c1,loot,0,,,,,,,,,,
axis_engineer_r2c1,loot,0,,,,,,,,,,
axis_engineer_r3c1,loot,0,,,,,,,,,,
axis_engineer_shirt_r1c1,loot,0,,,,,,,,,,
axis_engineer_shirt_r2c1,loot,0,,,,,,,,,,
axis_engineer_shirt_r3c1,loot,0,,,,,,,,,,
axis_grenadier_eyewear_r1c1,loot,0,,,,,,,,,,
axis_grenadier_eyewear_skin1,loot,0,,,,,,,,,,
axis_grenadier_eyewear_skin2,loot,0,,,,,,,,,,
axis_grenadier_gear_r1c1,loot,0,,,,,,,,,,
axis_grenadier_gear_skin1,loot,0,,,,,,,,,,
axis_grenadier_gear_skin2,loot,0,,,,,,,,,,
axis_grenadier_hat_r1c1,gear,0,,,,,,,,,,
axis_grenadier_hat_skin1,gear,0,,,,,,,,,,
axis_grenadier_hat_skin2,gear,0,,,,,,,,,,
