a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,
18,scope,WEAPON_APERTURE_SIGHT,aperture_sight_g43,aperture_sight_g43,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
19,scope,WEAPON_APERTURE_SIGHT,aperture_sight_greasegun,aperture_sight_greasegun,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
20,scope,WEAPON_APERTURE_SIGHT,aperture_sight_grofuss,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
21,scope,WEAPON_APERTURE_SIGHT,aperture_sight_kgm21,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
22,scope,WEAPON_APERTURE_SIGHT,aperture_sight_lad,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
24,scope,WEAPON_APERTURE_SIGHT,aperture_sight_lewis,aperture_sight_lewis,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
25,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m1919,aperture_sight_m1919,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
26,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m1935,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
27,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m1941,aperture_sight_m1941,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
28,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m1a1,aperture_sight_m1a1,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
29,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m1garand,aperture_sight_m1garand,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
30,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m2carbine,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
31,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m2hyde,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
32,scope,WEAPON_APERTURE_SIGHT,aperture_sight_m30,aperture_sight_m30,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,recruit|regular|hardened|veteran,,,
33,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mas38,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
34,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mg15,aperture_sight_mg15,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
35,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mg42,aperture_sight_mg42,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
36,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mg81,aperture_sight_mg81,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
37,scope,WEAPON_APERTURE_SIGHT,aperture_sight_model21,aperture_sight_model21,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,recruit|regular|hardened|veteran,,,
38,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mp28,aperture_sight_mp28,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
39,scope,WEAPON_APERTURE_SIGHT,aperture_sight_mp40,aperture_sight_mp40,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
40,scope,WEAPON_APERTURE_SIGHT,aperture_sight_nambu,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
41,scope,WEAPON_APERTURE_SIGHT,aperture_sight_ppsh41,aperture_sight_ppsh41,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
42,scope,WEAPON_APERTURE_SIGHT,aperture_sight_ribeyrolles,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
44,scope,WEAPON_APERTURE_SIGHT,aperture_sight_sten,aperture_sight_sten,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
45,scope,WEAPON_APERTURE_SIGHT,aperture_sight_sterling,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
46,scope,WEAPON_APERTURE_SIGHT,aperture_sight_stg44,aperture_sight_stg44,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
47,scope,WEAPON_APERTURE_SIGHT,aperture_sight_sudaev,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
48,scope,WEAPON_APERTURE_SIGHT,aperture_sight_svt40,aperture_sight_svt40,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
49,scope,WEAPON_APERTURE_SIGHT,aperture_sight_thompson,aperture_sight_thompson,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
50,scope,WEAPON_APERTURE_SIGHT,aperture_sight_tokyo,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
51,scope,WEAPON_APERTURE_SIGHT,aperture_sight_type100,aperture_sight_type100,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,regular|hardened|veteran,,,
52,scope,WEAPON_APERTURE_SIGHT,aperture_sight_type5,aperture_sight_type5,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
53,scope,WEAPON_APERTURE_SIGHT,aperture_sight_type99,aperture_sight_type99,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
54,scope,WEAPON_APERTURE_SIGHT,aperture_sight_vmg1927,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
55,scope,WEAPON_APERTURE_SIGHT,aperture_sight_volk,aperture_sight_volk,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
56,scope,WEAPON_APERTURE_SIGHT,aperture_sight_walther,aperture_sight_walther,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,recruit|regular|hardened|veteran,,,
57,scope,WEAPON_APERTURE_SIGHT,aperture_sight_wimmer,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
58,scope,WEAPON_APERTURE_SIGHT,aperture_sight_zk383,aperture_sight,weapon_attachment_sight_aperture,WEAPON_APERTURE_SIGHT_DESC,TRUE,,2,0,1,0,0,0,,,,
59,scope,WEAPON_IRON_SIGHT,iron_sight_sniper,iron_sight_sniper,weapon_attachment_sights_iron_sniper,WEAPON_IRON_SIGHT_DESC,,,1,0,1,0,0,1,veteran,,,
60,scope,WEAPON_IRON_SIGHT,iron_sight_sniper_mosin,iron_sight_sniper,weapon_attachment_sights_iron_sniper,WEAPON_IRON_SIGHT_DESC,,,1,0,1,0,0,1,,,,
61,scope,WEAPON_LENS_SIGHT,lens_sight,lens_sight,weapon_attachment_sight_lens,WEAPON_LENS_SIGHT_DESC,TRUE,,1,0,0,0,0,0,recruit|regular|hardened|veteran,,,
62,scope,WEAPON_LENS_SIGHT,lens_sight_ribeyrolles,lens_sight,weapon_attachment_sight_lens,WEAPON_LENS_SIGHT_DESC,TRUE,,1,0,0,0,0,0,,,,
63,scope,WEAPON_LENS_SIGHT,lens_sight_small,lens_sight_small,weapon_attachment_sight_lens,WEAPON_LENS_SIGHT_DESC,TRUE,,1,0,0,0,0,0,recruit|regular|hardened|veteran,,,
64,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
65,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_avs36,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
66,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_bar,telescopic_sight_bar,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
67,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_bren,telescopic_sight_bren,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
69,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_charlton,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
70,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_chatelleroult,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
71,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_delisle,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
72,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_dp28,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
73,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_enfield,telescopic_sight_enfield,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,recruit|regular|hardened|veteran,,,
74,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_federov,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
75,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_fg42,telescopic_sight_fg42,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
76,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_g43,telescopic_sight_g43,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
77,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_grofuss,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
78,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_kar98k,telescopic_sight_kar98k,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,recruit|regular|hardened|veteran,,,
79,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_kbsp1938,telescopic_sight_kbsp1938,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,recruit|regular|hardened|veteran,,,
80,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_kgm21,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
81,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_lad,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
82,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_leveraction,telescopic_sight_leveraction,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
83,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_lewis,telescopic_sight_lewis,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
84,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m1919,telescopic_sight_m1919,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
85,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m1935,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
86,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m1941,telescopic_sight_m1941,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
87,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m1a1,telescopic_sight_m1a1,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
88,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m1garand,telescopic_sight_m1garand,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
89,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_m2carbine,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
90,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_mas36,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
91,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_mg15,telescopic_sight_mg15,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
92,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_mg42,telescopic_sight_mg42,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
93,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_mg81,telescopic_sight_mg81,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
94,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_mosin,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
95,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_ptrs41,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
98,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_sdk,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
100,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_springfield,telescopic_sight_springfield,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,recruit|regular|hardened|veteran,,,
101,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_stg44,telescopic_sight_stg44,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
102,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_sudaev,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
103,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_svt40,telescopic_sight_svt40,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,hardened|veteran,,,
104,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_type38,telescopic_sight_type38,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC_SNIPER,TRUE,,1,0,1,0,0,1,,,,
105,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_type5,telescopic_sight_type5,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
106,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_type99,telescopic_sight_type99,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
107,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_vmg1927,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
108,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_volk,telescopic_sight_volk,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
109,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_wimmer,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
110,scope,WEAPON_TELESCOPIC_SIGHT,telescopic_sight_wz35,telescopic_sight,weapon_attachment_sight_telescopic,WEAPON_TELESCOPIC_SIGHT_DESC,TRUE,,1,0,1,0,0,1,,,,
111,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath,dragon_breath,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
112,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_bolt_action,dragon_breath_bolt_action,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
113,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_bolt_action_1,dragon_breath_bolt_action_1,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
114,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_bolt_action_2,dragon_breath_bolt_action_2,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
115,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_bolt_action_3,dragon_breath_bolt_action_3,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
116,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_break,dragon_breath,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
117,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_break_3,dragon_breath_break_3,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
118,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_magazine,dragon_breath_magazine,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
119,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_magazine_1,dragon_breath_magazine_1,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
120,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_magazine_2,dragon_breath_magazine_2,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
121,underbarrel,WEAPON_DRAGON_BREATH,dragon_breath_magazine_3,dragon_breath_magazine_3,weapon_attachment_incendiary_shells,WEAPON_DRAGON_BREATH_DESC,,,0,0,0,0,0,0,,,,
122,underbarrel,WEAPON_M30_RIFLE,m30_rifle,m30_rifle,weapon_attachment_rifle_barrel,WEAPON_OVERHAUL_M30_RIFLE_DESC,,,0,0,0,0,0,0,veteran,,,
123,undermount,WEAPON_RAPID_FIRE,zk_alt,rapid_fire,weapon_attachment_rec_fast,WEAPON_MTX6_ZK_ALT_DESC,,,0,0,0,3,0,0,,,,
124,unique,WEAPON_AKIMBO,akimbo,akimbo,weapon_attachment_akimbo,WEAPON_AKIMBO_DESC,,,0,0,0,0,3,0,veteran,,,
125,unique,WEAPON_AKIMBO,akimbo_fullauto,akimbo_fullauto,weapon_attachment_akimbo,WEAPON_AKIMBO_DESC,,,0,0,0,0,3,0,veteran,,,
126,unique,WEAPON_AKIMBO,akimbo_fullauto_zm,akimbo_fullauto,weapon_attachment_akimbo,WEAPON_AKIMBO_DESC,,,0,0,0,0,3,0,,,,
127,unique,WEAPON_AKIMBO,akimbo_zm,akimbo,weapon_attachment_akimbo,WEAPON_AKIMBO_DESC,,,0,0,0,0,3,0,,,,
128,unique,WEAPON_BAYONET,bayonet,bayonet,weapon_attachment_rifle_bayonet,WEAPON_OVERHAUL_BAYONET_DESC,,,0,0,0,0,0,0,,,,
129,unique,WEAPON_BAYONET,bayonet_allies,bayonet_allies,weapon_attachment_rifle_bayonet,WEAPON_OVERHAUL_BAYONET_DESC,,,0,0,0,0,0,0,,,,
130,unique,WEAPON_BAYONET,bayonet_axis,bayonet_axis,weapon_attachment_rifle_bayonet,WEAPON_OVERHAUL_BAYONET_DESC,,,0,0,0,0,0,0,,,,
131,unique,WEAPON_BAYONET,bayonet_m1garand,bayonet_m1garand,weapon_attachment_rifle_bayonet,WEAPON_OVERHAUL_BAYONET_DESC,,,0,0,0,0,0,0,,,,
132,unique,WEAPON_BIPOD,bipod_3,bipod_3,weapon_attachment_barrel,WEAPON_BIPOD_DESC,,,3,0,0,0,0,0,,,,
133,unique,WEAPON_MTX9_EXPLOSIVE_TIPS,explosive_tips_dp28,explosive_tips_dp28,weapon_attachment_explosive_bolt,WEAPON_MTX9_EXPLOSIVE_TIPS_DESC,,,0,1,0,0,0,0,,,,
134,unique,WEAPON_EXTENDED_MAG,extended_mag,extended_mag,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,hardened|veteran,,,
135,unique,WEAPON_EXTENDED_MAG,extended_mag_1897,extended_mag_1897,weapon_attachment_mag_extended,WEAPON_EXTENDED_MAG_DESC,,,0,0,0,0,0,0,,,,
