model,category,-idIndex,primaryid,collision,transient override,-lobmodel,viewmodel,-worldmat,-viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel,
ger_king_valeyepatch_base,eyewear,,34,0,eyewear,,,,,king,,,,,,,,,
ger_habhab_valeyepatch_base,eyewear,,34,0,eyewear,,,,,habhab,,,,,,,,,
ger_starcher_valeyepatch_base,eyewear,,34,0,eyewear,,,,,starcher,,,,,,,,,
ger_younger_valeyepatch_base,eyewear,,34,0,eyewear,,,,,younger,,,,,,,,,
ger_clark_valeyepatch_base,eyewear,,34,0,eyewear,,,,,clark,,,,,,,,,
ger_mano_valeyepatch_base,eyewear,,34,0,eyewear,,,,,mano,,,,,,,,,
ger_elliot_valeyepatch_base,eyewear,,34,0,eyewear,,,,,elliot,,,,,,,,,
ger_gomez_valeyepatch_base,eyewear,,34,0,eyewear,,,,,nguyen,,,,,,,,,
ger_alfakey_valeyepatch_base,eyewear,,34,0,eyewear,,,,,alfakey,,,,,,,,,
ger_tab_valeyepatch_base,eyewear,,34,0,eyewear,,,,,tab,,,,,,,,,
ger_joyce_valeyepatch_base,eyewear,,34,0,eyewear,,,,,joyce,,,,,,,,,
ger_sup_alfakey_gog_base,eyewear,,60,0,eyewear,,,,,alfakey,!scarf,,,,,,,,
ger_sup_clark_gog_base,eyewear,,60,0,eyewear,,,,,clark,!scarf,,,,,,,,
ger_sup_elliot_gog_base,eyewear,,60,0,eyewear,,,,,elliot,!scarf,,,,,,,,
ger_sup_habhab_gog_base,eyewear,,60,0,eyewear,,,,,habhab,!scarf,,,,,,,,
ger_sup_joyce_gog_base,eyewear,,60,0,eyewear,,,,,joyce,!scarf,,,,,,,,
ger_sup_king_gog_base,eyewear,,60,0,eyewear,,,,,king,!scarf,,,,,,,,
ger_sup_mano_gog_base,eyewear,,60,0,eyewear,,,,,mano,!scarf,,,,,,,,
ger_sup_nguyen_gog_base,eyewear,,60,0,eyewear,,,,,nguyen,!scarf,,,,,,,,
ger_sup_silva_gog_base,eyewear,,60,0,eyewear,,,,,silva,!scarf,,,,,,,,
ger_sup_starcher_gog_base,eyewear,,60,0,eyewear,,,,,starcher,!scarf,,,,,,,,
ger_sup_tab_gog_base,eyewear,,60,0,eyewear,,,,,tab,!scarf,,,,,,,,
ger_sup_younger_gog_base,eyewear,,60,0,eyewear,,,,,younger,!scarf,,,,,,,,
ger_m_sold_pack_base,gear,,2,0,gear,,,,,!female,,,,,,,,,
ger_f_sold_pack_base,gear,,2,0,gear,,,,,female,,,,,,,,,
ger_f_gren_pack_base,gear,,27,0,none,,,,,!female,,,,,,,,,
ger_m_gren_pack_base,gear,,27,0,gear,,,,,female,,,,,,,,,
ger_m_panzer_pack_base,gear,,31,0,gear,,,,,!female,,,,,,,,,
ger_f_panzer_pack_base,gear,,31,0,gear,,,,,female,,,,,,,,,
ita_f_para_chute_base,gear,,32,0,gear,,,,,female,,,,,,,,,
ita_m_para_chute_base,gear,,32,0,gear,,,,,!female,,,,,,,,,
ger_f_ghilliepack_base,gear,,33,0,gear,,,,,female,,,,,,,,,
ger_m_ghilliepack_base,gear,,33,0,gear,,,,,!female,,,,,,,,,
ger_m_valbag_base,gear,,34,0,gear,,,,,!female,,,,,,,,,
ger_f_valbag_base,gear,,34,0,gear,,,,,female,,,,,,,,,
ger_f_engineer_pack_base,gear,,37,0,gear,,,,,female,,,,,,,,,
ger_m_engineer_pack_base,gear,,37,0,gear,,,,,!female,,,,,,,,,
ger_f_sup_backpack_base,gear,,60,0,gear,,,,,female,,,,,,,,,
ger_m_sup_backpack_base,gear,,60,0,gear,,,,,!female,,,,,,,,,
npc_usa_flamethrower_backpack,gear,,478,1,none,,,,,,,,,,,,,,
npc_ger_flammenwerfer35_gear,gear,,479,1,none,,,,,,,,,,,,,,
ger_sold_silva_helm_base,hat,,2,0,hat,,,,,silva,,,,,,,,,
ger_sold_king_helm_base,hat,,2,0,hat,,,,,king,,,,,,,,,
ger_sold_habhab_helm_base,hat,,2,0,hat,,,,,habhab,,,,,,,,,
ger_sold_younger_helm_base,hat,,2,0,hat,,,,,younger,,,,,,,,,
ger_sold_starcher_helm_base,hat,,2,0,hat,,,,,starcher,,,,,,,,,
ger_sold_clark_helm_base,hat,,2,0,hat,,,,,clark,,,,,,,,,
ger_sold_mano_helm_base,hat,,2,0,hat,,,,,mano,,,,,,,,,
ger_sold_tab_helm_base,hat,,2,0,hat,,,,,tab,,,,,,,,,
ger_sold_alfakey_helm_base,hat,,2,0,hat,,,,,alfakey,,,,,,,,,
ger_sold_elliot_helm_base,hat,,2,0,hat,,,,,elliot,,,,,,,,,
ger_sold_nguyen_helm_base,hat,,2,0,hat,,,,,nguyen,,,,,,,,,
ger_sold_joyce_helm_base,hat,,2,0,hat,,,,,joyce,,,,,,,,,
ger_gren_silva_helm_base,hat,,27,0,hat,,,,,female,,,,,,,,,
ger_gren_king_helm_base,hat,,27,0,none,,,,,!female,,,,,,,,,
ger_panzer_younger_cap_base,hat,,31,0,hat,,,,,younger,,,,,,,,,
ger_panzer_king_cap_base,hat,,31,0,hat,,,,,king,,,,,,,,,
ger_panzer_silva_cap_base,hat,,31,0,hat,,,,,silva,,,,,,,,,
ger_panzer_habhab_cap_base,hat,,31,0,hat,,,,,habhab,,,,,,,,,
ger_panzer_starcher_cap_base,hat,,31,0,hat,,,,,starcher,,,,,,,,,
ger_panzer_clark_cap_base,hat,,31,0,hat,,,,,clark,,,,,,,,,
ger_panzer_tab_cap_base,hat,,31,0,hat,,,,,tab,,,,,,,,,
ger_panzer_mano_cap_base,hat,,31,0,hat,,,,,mano,,,,,,,,,
ger_panzer_joyce_cap_base,hat,,31,0,hat,,,,,joyce,,,,,,,,,
ger_panzer_elliot_cap_base,hat,,31,0,hat,,,,,elliot,,,,,,,,,
ger_panzer_alfakey_cap_base,hat,,31,0,hat,,,,,alfakey,,,,,,,,,
ger_panzer_nguyen_cap_base,hat,,31,0,hat,,,,,nguyen,,,,,,,,,
ita_para_younger_helm_base,hat,,32,0,hat,,,,,younger,,,,,,,,,
ita_para_king_helm_base,hat,,32,0,hat,,,,,king,,,,,,,,,
ita_para_habhab_helm_base,hat,,32,0,hat,,,,,habhab,,,,,,,,,
ita_para_silva_helm_base,hat,,32,0,hat,,,,,silva,,,,,,,,,
ita_para_clark_helm_base,hat,,32,0,hat,,,,,clark,,,,,,,,,
ita_para_tab_helm_base,hat,,32,0,hat,,,,,tab,,,,,,,,,
ita_para_starcher_helm_base,hat,,32,0,hat,,,,,starcher,,,,,,,,,
ita_para_mano_helm_base,hat,,32,0,hat,,,,,mano,,,,,,,,,
ita_para_joyce_helm_base,hat,,32,0,hat,,,,,joyce,,,,,,,,,
ita_para_elliot_helm_base,hat,,32,0,hat,,,,,elliot,,,,,,,,,
ita_para_alfakey_helm_base,hat,,32,0,hat,,,,,alfakey,,,,,,,,,
ita_para_nguyen_helm_base,hat,,32,0,hat,,,,,nguyen,,,,,,,,,
ger_king_ghilliehelmet_base,hat,,33,0,hat,,,,,!female,,,,,,,,,
ger_silva_ghilliehelmet_base,hat,,33,0,hat,,,,,female,,,,,,,,,
ger_silva_valhat_base,hat,,34,0,hat,,,,,silva,,,,,,,,,
ger_king_valhat_base,hat,,34,0,hat,,,,,king,,,,,,,,,
ger_habhab_valhat_base,hat,,34,0,hat,,,,,habhab,,,,,,,,,
ger_younger_valhat_base,hat,,34,0,hat,,,,,younger,,,,,,,,,
ger_starcher_valhat_base,hat,,34,0,hat,,,,,starcher,,,,,,,,,
ger_clark_valhat_base,hat,,34,0,hat,,,,,clark,,,,,,,,,
ger_mano_valhat_base,hat,,34,0,hat,,,,,mano,,,,,,,,,
ger_elliot_valhat_base,hat,,34,0,hat,,,,,elliot,,,,,,,,,
ger_gomez_valhat_base,hat,,34,0,hat,,,,,nguyen,,,,,,,,,
ger_alfakey_valhat_base,hat,,34,0,hat,,,,,alfakey,,,,,,,,,
ger_joyce_valhat_base,hat,,34,0,hat,,,,,joyce,,,,,,,,,
ger_tab_valhat_base,hat,,34,0,hat,,,,,tab,,,,,,,,,
ger_silva_m16helmet_base,hat,,37,0,hat,,,,,silva,,,,,,,,,
ger_king_m16helmet_base,hat,,37,0,hat,,,,,king,,,,,,,,,
ger_habhab_m16helmet_base,hat,,37,0,hat,,,,,habhab,,,,,,,,,
ger_younger_m16helmet_base,hat,,37,0,hat,,,,,younger,,,,,,,,,
ger_starcher_m16helmet_base,hat,,37,0,hat,,,,,starcher,,,,,,,,,
ger_clark_m16helmet_base,hat,,37,0,hat,,,,,clark,,,,,,,,,
ger_mano_m16helmet_base,hat,,37,0,hat,,,,,mano,,,,,,,,,
ger_elliot_m16helmet_base,hat,,37,0,hat,,,,,elliot,,,,,,,,,
ger_nguyen_m16helmet_base,hat,,37,0,hat,,,,,nguyen,,,,,,,,,
ger_alfakey_m16helmet_base,hat,,37,0,hat,,,,,alfakey,,,,,,,,,
ger_tab_m16helmet_base,hat,,37,0,hat,,,,,tab,,,,,,,,,
ger_joyce_m16helmet_base,hat,,37,0,hat,,,,,joyce,,,,,,,,,
ger_sup_alfakey_m40_base,hat,,60,0,hat,,,,,female,,,,,,,,,
ger_sup_younger_m40_base,hat,,60,0,hat,,,,,!female,,,,,,,,,
ger_m_sold_pants_base,pants,,2,1,pants,,,,,!female,,,,,,,,,
ger_f_sold_pants_base,pants,,2,1,pants,,,,,female,,,,,,,,,
ger_m_gren_pants_base,pants,,27,1,none,,,,,!female,,,,,,,,,
ger_f_gren_pants_base,pants,,27,1,pants,,,,,female,,,,,,,,,
ger_m_panzer_pants_base,pants,,31,1,pants,,,,,!female,,,,,,,,,
ger_f_panzer_pants_base,pants,,31,1,pants,,,,,female,,,,,,,,,
ita_m_para_pants_base,pants,,32,1,pants,,,,,!female,,,,,,,,,
ita_f_para_pants_base,pants,,32,1,pants,,,,,female,,,,,,,,,
ger_m_ghillielegs_base,pants,,33,1,pants,,,,,!female,,,,,,,,,
ger_f_ghillielegs_base,pants,,33,1,pants,,,,,female,,,,,,,,,
ger_m_valpants_base,pants,,34,1,pants,,,,,!female,,,,,,,,,
ger_f_valpants_base,pants,,34,1,pants,,,,,female,,,,,,,,,
ger_m_sold_jacket_base,shirt,,2,1,none,,player_ger_m_soldier_s1_base,,,!female,s1,,,,,,,,
ger_f_sold_jacket_base,shirt,,2,1,shirt,,player_ger_f_soldier_s1_base,,,female,fs1,,,,,,,,
ger_m_sold_jacket_base,shirt,,2,1,shirt,,player_ger_m_soldier_s2_base,,,!female,s2,,,,,,,,
ger_m_sold_jacket_base,shirt,,2,1,shirt,,player_ger_m_soldier_s3_base,,,!female,s3,,,,,,,,
ger_f_sold_jacket_base,shirt,,2,1,shirt,,player_ger_f_soldier_s2_base,,,female,fs2,,,,,,,,
ger_f_sold_jacket_base,shirt,,2,1,shirt,,player_ger_f_soldier_s3_base,,,fs3,female,,,,,,,,
ger_m_sold_jacket_base,shirt,,2,1,shirt,,player_ger_m_soldier_s4_base,,,s4,!female,,,,,,,,
ger_m_gren_coat_base,shirt,,27,1,none,,player_ger_m_grenadier_s1_base,,,!female,s1,,,,,,,,
ger_m_gren_coat_base,shirt,,27,1,none,,player_ger_m_grenadier_s2_base,,,!female,s2,,,,,,,,
ger_m_gren_coat_base,shirt,,27,1,none,,player_ger_m_grenadier_s3_base,,,!female,s3,,,,,,,,
ger_f_gren_coat_base,shirt,,27,1,shirt,,player_ger_f_grenadier_s1_base,,,female,fs1,,,,,,,,
ger_f_gren_coat_base,shirt,,27,1,shirt,,player_ger_f_grenadier_s2_base,,,female,fs2,,,,,,,,
ger_f_gren_coat_base,shirt,,27,1,shirt,,player_ger_f_grenadier_s3_base,,,female,fs3,,,,,,,,
ger_m_gren_coat_base,shirt,,27,1,shirt,,player_ger_m_grenadier_s3_base,,,s4,!female,,,,,,,,
ger_f_panzer_jacket_base,shirt,,31,1,shirt,,player_ger_f_panzer_base,,,female,,,,,,,,,
ger_m_panzer_jacket_base,shirt,,31,1,shirt,,player_ger_m_panzer_base,,,!female,,,,,,,,,
ita_f_para_jacket_base,shirt,,32,1,shirt,,player_ita_paratrooper_base,,,female,,,,,,,,,
ita_m_para_jacket_base,shirt,,32,1,shirt,,player_ita_paratrooper_base,,,!female,,,,,,,,,
ger_f_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_f_ghillie_s1_base,,,female,fs1,,,,,,,,
ger_m_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_m_ghillie_s1_base,,,!female,s1,,,,,,,,
ger_f_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_f_ghillie_s2_base,,,female,fs2,,,,,,,,
ger_m_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_m_ghillie_s2_base,,,!female,s2,,,,,,,,
ger_m_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_m_ghillie_s3_base,,,!female,s3,,,,,,,,
ger_f_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_f_ghillie_s3_base,,,female,fs3,,,,,,,,
ger_m_ghilliesmock_base,shirt,,33,1,shirt,,player_ger_m_ghillie_s4_base,,,s4,!female,,,,,,,,
ger_m_valtunic_base,shirt,,34,1,shirt,,player_ger_m_ober_base,,,!female,,,,,,,,,
ger_f_valtunic_base,shirt,,34,1,shirt,,player_ger_f_ober_base,,,female,,,,,,,,,
ger_m_engineer_base,shirt,,37,1,shirt,,player_ger_m_engineer_base,,,!female,,,,,,,,,
ger_f_engineer_base,shirt,,37,1,shirt,,player_ger_f_engineer_base,,,female,,,,,,,,,
ger_f_super_base,shirt,,60,1,shirt,,player_ger_super_base,,,female,,,,,,,,,
ger_m_super_base,shirt,,60,1,shirt,,player_ger_super_base,,,!female,,,,,,,,,
