a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,ac28,ad29,ae30,af31,ag32,ah33,ai34,
11,flak_gun,KILLSTREAKS_FLAK_GUN,KILLSTREAKS_FLAK_GUN_DESC,950,800,1650,9,8,17,MP_EARNED_FLAK_GUN,mp_s2_earn_flak_guns,ss_flak_achieve,flak,flak,1,killstreak_uav_mp,100,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,support,,KILLSTREAKS_FLAK_GUN_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_FLAK_GUN_BUFF,,,800,,
12,emergency_carepackage,KILLSTREAKS_EMERGENCY_CAREPACKAGE,KILLSTREAKS_EMERGENCY_CAREPACKAGE_DESC,1000,850,2400,10,9,19,MP_EARNED_EMERGENCY_CAREPACKAGE,mp_s2_earn_emg_care_pkg,ss_erdrop_achieve,erdrop,erdrop,1,killstreak_emergency_carepackage_grenade_mp,100,scorestreak_emergency_airdrop,scorestreak_emergency_airdrop_allies_hud,scorestreak_emergency_airdrop_allies_hud,scorestreak_emergency_airdrop_allies_hud,scorestreak_emergency_airdrop_allies_hud,scorestreak_emergency_airdrop,scorestreak_emergency_airdrop_allies_hud,scorestreak_emergency_airdrop_allies_hud,support,,KILLSTREAKS_EMERGENCY_CAREPACKAGE_HINT,killstreak_emergency_carepackage_grenade_axis_mp,KILLSTREAKS_DLC2_EMERGENCY_CAREPACKAGE_BUFF,,,1000,,
13,paratroopers,KILLSTREAKS_PARATROOPERS,KILLSTREAKS_PARATROOPERS_DESC,1250,1100,3300,12,11,24,MP_EARNED_PARATROOPERS,mp_s2_earn_paratroopers,ss_paratroopers_achieve,paratroopers,paratroopers,1,killstreak_uav_mp,100,scorestreak_paratroopers,scorestreak_paratroopers_neutral_hud,scorestreak_paratroopers_neutral_hud,scorestreak_paratroopers_neutral_hud,scorestreak_paratroopers_neutral_hud,scorestreak_paratroopers,scorestreak_paratroopers_neutral_hud,scorestreak_paratroopers_neutral_hud,lethal,,KILLSTREAKS_PARATROOPERS_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_PARATROOPERS_BUFF,,,1250,,
14,firebomb,KILLSTREAKS_FIREBOMB,KILLSTREAKS_FIREBOMB_DESC,1050,900,2700,10,9,20,MP_EARNED_AIRSTRIKE,mp_s2_earn_fire_bombing,ss_fbr_achieve,fbr,fbr,1,killstreak_air_strike_mp,100,scorestreak_fire_bombing,scorestreak_fire_bombing_allies_hud,scorestreak_fire_bombing_allies_hud,scorestreak_fire_bombing_allies_hud,scorestreak_fire_bombing_allies_hud,scorestreak_fire_bombing,scorestreak_fire_bombing_allies_hud,scorestreak_fire_bombing_allies_hud,lethal,,KILLSTREAKS_FIREBOMB_HINT,,KILLSTREAKS_DLC2_FIREBOMB_BUFF,,,1050,,
15,airstrike,KILLSTREAKS_AIRSTRIKE,KILLSTREAKS_AIRSTRIKE_DESC,1400,1225,3850,13,12,28,MP_EARNED_AIRSTRIKE,mp_s2_earn_bombing_run,ss_bomberrun_achieve,bomberrun,bomberrun,1,killstreak_uav_mp,100,scorestreak_carpet_bomb,scorestreak_carpet_bombing_allies_hud,scorestreak_carpet_bombing_allies_hud,scorestreak_carpet_bombing_allies_hud,scorestreak_carpet_bombing_allies_hud,scorestreak_carpet_bomb,scorestreak_carpet_bombing_allies_hud,scorestreak_carpet_bombing_allies_hud,lethal,strafing_run,KILLSTREAKS_AIRSTRIKE_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_AIRSTRIKE_BUFF,,,1400,,
16,plane_gunner,KILLSTREAKS_PLANE_GUNNER,KILLSTREAKS_PLANE_GUNNER_DESC,1700,1450,4800,15,14,34,MP_EARNED_PLANE_GUNNER,mp_s2_earn_plane_gunner,ss_planegun_achieve,planegun,planegun,1,killstreak_air_strike_mp,100,scorestreak_plane_gunner,scorestreak_plane_gunner_neutral_hud,scorestreak_plane_gunner_neutral_hud,scorestreak_plane_gunner_neutral_hud,scorestreak_plane_gunner_neutral_hud,scorestreak_plane_gunner,scorestreak_plane_gunner_neutral_hud,scorestreak_plane_gunner_neutral_hud,lethal,strafing_run,KILLSTREAKS_PLANE_GUNNER_HINT,,KILLSTREAKS_DLC2_PLANE_GUNNER_BUFF,,,1700,,
17,v2_rocket,KILLSTREAKS_V2_ROCKET,KILLSTREAKS_V2_ROCKET_DESC,99999,99999,99999,99999,99999,99999,MP_EARNED_V2_ROCKET,mp_s2_earn_v2_rocket,ss_v2rocket_achieve,v2rocket,v2rocket,1,killstreak_uav_mp,100,scorestreak_V2_rocket,scorestreak_v2_neutral_hud,scorestreak_v2_neutral_hud,scorestreak_v2_neutral_hud,scorestreak_v2_neutral_hud,scorestreak_V2_rocket,scorestreak_v2_neutral_hud,scorestreak_v2_neutral_hud,lethal,,KILLSTREAKS_V2_ROCKET_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_V2_ROCKET_BUFF,,,99999,,
18,tripwire,KILLSTREAKS_TRIPWIRE,KILLSTREAKS_CAREPACKAGE_DESC,575,450,900,5,4,10,MP_EARNED_TRIPWIRE,mp_s2_earn_care_pkg,ss_cpkg_achieve,cpkg,cpkg,1,war_tripwire_mp,100,scorestreak_tripwire,scorestreak_tripwire_axis_hud,scorestreak_tripwire_axis_hud,scorestreak_tripwire_axis_hud,scorestreak_tripwire_axis_hud,scorestreak_tripwire,scorestreak_tripwire_axis_hud,scorestreak_tripwire_axis_hud,support,,KILLSTREAKS_CAREPACKAGE_HINT,war_tripwire_mp,KILLSTREAKS_DLC2_CAREPACKAGE_BUFF,,,575,,
19,raid_flak,KILLSTREAKS_RAID_FLAK,KILLSTREAKS_RAID_FLAK_DESC,460,460,1000,4,4,10,MP_EARNED_FLAK_GUN,mp_s2_earn_flak_guns,ss_flak_achieve,flak,flak,1,killstreak_flak_gun_raids,100,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,support,,KILLSTREAKS_FLAK_GUN_HINT,killstreak_flak_gun_raids,KILLSTREAKS_DLC2_FLAK_GUN_BUFF,,,120,,
20,raid_fighters,KILLSTREAKS_RAID_FIGHTERS,KILLSTREAKS_RAID_FIGHTERS_DESC,460,460,1000,4,4,10,MP_EARNED_FIGHTER_STRIKE,mp_s2_earn_plane_gunner,ss_fighterstraff_achieve,fighterstraff,fighterstraff,1,killstreak_uav_mp,100,scorestreak_fighter_strafing_run,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run,scorestreak_fighter_strafing_run_allies_hud,scorestreak_fighter_strafing_run_allies_hud,lethal,strafing_run,KILLSTREAKS_FIGHTER_STRIKE_HINT,killstreak_uav_axis_mp,KILLSTREAKS_DLC2_FIGHTER_STRIKE_BUFF,,,160,,
21,incendiary_can,KILLSTREAKS_INCENDIARY_CAN,KILLSTREAKS_INCENDIARY_CAN_DESC,300,225,650,3,2,6,MP_EARNED_MOLOTOVS,mp_s2_earn_flamethrower,ss_molotovs_achieve,molotovs,molotovs,1,m712carry_mp,100,scorestreak_molotovs,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,scorestreak_molotovs,scorestreak_molotovs_neutral_hud,scorestreak_molotovs_neutral_hud,lethal,,KILLSTREAKS_MOLOTOVS_HINT,m712carry_mp,,m712carry_mp,m712carry_mp,500,,
22,raid_superweapon,KILLSTREAKS_RAID_SUPERWEAPON,KILLSTREAKS_RAID_SUPERWEAPON_DESC,0,0,0,0,0,0,MP_EARNED_RAID_SUPERWEAPON,mp_s2_earn_flamethrower,ss_raid_superweapon_achieve,flame,flame,1,teslagun_war_regular_mp,100,scorestreak_raid_superweapon,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,lethal,,KILLSTREAKS_FLAMETHROWER_HINT,,KILLSTREAKS_DLC2_FLAMETHROWER_BUFF,,,950,,
23,raid_ss_serum_a,KILLSTREAKS_RAID_SS_SERUM_A,KILLSTREAKS_RAID_SS_SERUM_A_DESC,0,0,0,0,0,0,MP_EARNED_RAID_SS_SERUM_A,mp_s2_earn_spyplane,ss_serum_a_achieve,reconplane,reconplane,1,war_super_soldier_syrum_green_mp,100,scorestreak_raid_ss_serum_a,scorestreak_raid_ss_serum_a_neutral_hud,scorestreak_raid_ss_serum_a_neutral_hud,scorestreak_raid_ss_serum_a_neutral_hud,scorestreak_raid_ss_serum_a_neutral_hud,scorestreak_raid_ss_serum_a,scorestreak_raid_ss_serum_a_neutral_hud,scorestreak_raid_ss_serum_a_neutral_hud,lethal,,KILLSTREAKS_UAV_HINT,war_super_soldier_syrum_green_mp,KILLSTREAKS_DLC2_UAV_BUFF,,,0,,
24,raid_ss_serum_b,KILLSTREAKS_RAID_SS_SERUM_B,KILLSTREAKS_RAID_SS_SERUM_B_DESC,0,0,0,0,0,0,MP_EARNED_RAID_SS_SERUM_B,mp_s2_earn_spyplane,ss_serum_b_achieve,reconplane,reconplane,1,war_super_soldier_syrum_purple_mp,100,scorestreak_raid_ss_serum_b,scorestreak_raid_ss_serum_b_neutral_hud,scorestreak_raid_ss_serum_b_neutral_hud,scorestreak_raid_ss_serum_b_neutral_hud,scorestreak_raid_ss_serum_b_neutral_hud,scorestreak_raid_ss_serum_b,scorestreak_raid_ss_serum_b_neutral_hud,scorestreak_raid_ss_serum_b_neutral_hud,lethal,,KILLSTREAKS_UAV_HINT,war_super_soldier_syrum_purple_mp,KILLSTREAKS_DLC2_UAV_BUFF,,,0,,
25,raid_ss_serum_c,KILLSTREAKS_RAID_SS_SERUM_C,KILLSTREAKS_RAID_SS_SERUM_C_DESC,0,0,0,0,0,0,MP_EARNED_RAID_SS_SERUM_C,mp_s2_earn_spyplane,ss_serum_c_achieve,reconplane,reconplane,1,war_super_soldier_syrum_mp,100,scorestreak_raid_ss_serum_c,scorestreak_raid_ss_serum_c_neutral_hud,scorestreak_raid_ss_serum_c_neutral_hud,scorestreak_raid_ss_serum_c_neutral_hud,scorestreak_raid_ss_serum_c_neutral_hud,scorestreak_raid_ss_serum_c,scorestreak_raid_ss_serum_c_neutral_hud,scorestreak_raid_ss_serum_c_neutral_hud,lethal,,KILLSTREAKS_UAV_HINT,war_super_soldier_syrum_mp,KILLSTREAKS_DLC2_UAV_BUFF,,,0,,
26,dogfight_flak,KILLSTREAKS_RAID_FLAK,KILLSTREAKS_RAID_FLAK_DESC,400,400,1000,4,4,10,MP_EARNED_FLAK_GUN,mp_s2_earn_flak_guns,ss_flak_achieve,flak,flak,1,killstreak_flak_gun_raids,100,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,scorestreak_flak_strike,scorestreak_flak_neutral_hud,scorestreak_flak_neutral_hud,support,,KILLSTREAKS_FLAK_GUN_HINT,killstreak_flak_gun_raids,KILLSTREAKS_DLC2_FLAK_GUN_BUFF,,,120,,
27,raid_tesla_moon,KILLSTREAKS_RAID_SUPERWEAPON,KILLSTREAKS_RAID_SUPERWEAPON_DESC,0,0,0,0,0,0,MP_EARNED_RAID_SUPERWEAPON,mp_s2_earn_flamethrower,ss_raid_tesla_moon_achieve,flame,flame,1,teslagun_war_moon_mp,100,scorestreak_raid_superweapon_b,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_b,scorestreak_raid_superweapon_neutral_hud,scorestreak_raid_superweapon_neutral_hud,lethal,,KILLSTREAKS_FLAMETHROWER_HINT,,KILLSTREAKS_DLC2_FLAMETHROWER_BUFF,,,950,,
28,basic_training_serum,KILLSTREAKS_DLC4_SERUM_BASIC_TRAINING,KILLSTREAKS_DLC4_SERUM_BASIC_TRAINING_DESC,100,100,100,100,100,100,MP_EARNED_RAID_SS_SERUM_C,mp_s2_earn_spyplane,ss_serum_c_achieve,reconplane,reconplane,1,war_super_soldier_syrum_orange_mp,0,scorestreak_basic_training_serum,scorestreak_basic_training_serum_neutral_hud,scorestreak_basic_training_serum_neutral_hud,scorestreak_basic_training_serum_neutral_hud,scorestreak_basic_training_serum_neutral_hud,scorestreak_basic_training_serum,scorestreak_basic_training_serum_neutral_hud,scorestreak_basic_training_serum_neutral_hud,lethal,,KILLSTREAKS_UAV_HINT,,,,,100,,
