a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
9,cpl1,57600,9600,RANK_CPL,RANK_CPL_FULL,rank_cpl,67200,,,,,,10,10,,RANK_CPL_FULL,PERKS_UNLOCKED_AT_LV10,ranked_up_10,
10,cpl2,67200,10400,RANK_CPL,RANK_CPL_FULL2,rank_cpl,77600,,,,,,11,11,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV11,ranked_up_11,
11,cpl3,77600,11200,RANK_CPL,RANK_CPL_FULL3,rank_cpl,88800,,,,,,12,12,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV12,ranked_up_12,
12,tec41,88800,12000,RANK_TEC4,RANK_TEC4_FULL,rank_tec4,100800,,,,,,13,13,,RANK_TEC4_FULL,PERKS_UNLOCKED_AT_LV13,ranked_up_13,
13,tec42,100800,12800,RANK_TEC4,RANK_TEC4_FULL2,rank_tec4,113600,,,,,,14,14,,RANK_TEC4_FULL_N,PERKS_UNLOCKED_AT_LV14,ranked_up_14,
14,tec43,113600,13600,RANK_TEC4,RANK_TEC4_FULL3,rank_tec4,127200,,,,,,15,15,,RANK_TEC4_FULL_N,PERKS_UNLOCKED_AT_LV15,ranked_up_15,
15,sgt1,127200,14400,RANK_SGT,RANK_SGT_FULL,rank_sgt,141600,,,,,,16,16,,RANK_SGT_FULL,PERKS_UNLOCKED_AT_LV16,ranked_up_16,
16,sgt2,141600,15200,RANK_SGT,RANK_SGT_FULL2,rank_sgt,156800,,,,,,17,17,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV17,ranked_up_17,
17,sgt3,156800,16000,RANK_SGT,RANK_SGT_FULL3,rank_sgt,172800,,,,,,18,18,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV18,ranked_up_18,
18,tec31,172800,16800,RANK_TEC3,RANK_TEC3_FULL,rank_tec3,189600,,,,,,19,19,,RANK_TEC3_FULL,PERKS_UNLOCKED_AT_LV19,ranked_up_19,
19,tec32,189600,17600,RANK_TEC3,RANK_TEC3_FULL2,rank_tec3,207200,,,,,,20,20,,RANK_TEC3_FULL_N,PERKS_UNLOCKED_AT_LV20,ranked_up_20,
20,tec33,207200,18400,RANK_TEC3,RANK_TEC3_FULL3,rank_tec3,225600,,,,,,21,21,,RANK_TEC3_FULL_N,PERKS_UNLOCKED_AT_LV21,ranked_up_21,
21,ssgt1,225600,19200,RANK_SSGT,RANK_SSGT_FULL,rank_ssgt,244800,,,,,,22,22,,RANK_SSGT_FULL,PERKS_UNLOCKED_AT_LV22,ranked_up_22,
22,ssgt2,244800,20000,RANK_SSGT,RANK_SSGT_FULL2,rank_ssgt,264800,,,,,,23,23,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV23,ranked_up_23,
23,ssgt3,264800,20800,RANK_SSGT,RANK_SSGT_FULL3,rank_ssgt,285600,,,,,,24,24,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV24,ranked_up_24,
24,tec1,285600,21600,RANK_TEC1,RANK_TEC1_FULL,rank_tec1,307200,,,,,,25,25,,RANK_TEC1_FULL,PERKS_UNLOCKED_AT_LV25,ranked_up_25,
25,tec2,307200,22400,RANK_TEC1,RANK_TEC1_FULL2,rank_tec1,329600,,,,,,26,26,,RANK_TEC1_FULL_N,PERKS_UNLOCKED_AT_LV26,ranked_up_26,
26,tec3,329600,23200,RANK_TEC1,RANK_TEC1_FULL3,rank_tec1,352800,,,,,,27,27,,RANK_TEC1_FULL_N,PERKS_UNLOCKED_AT_LV27,ranked_up_27,
27,1stsgt1,352800,24000,RANK_1STSGT,RANK_1STSGT_FULL,rank_1stsgt,376800,,,,,,28,28,,RANK_1STSGT_FULL,PERKS_UNLOCKED_AT_LV28,ranked_up_28,
28,1stsgt2,376800,24800,RANK_1STSGT,RANK_1STSGT_FULL2,rank_1stsgt,401600,,,,,,29,29,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV29,ranked_up_29,
29,1stsgt3,401600,25600,RANK_1STSGT,RANK_1STSGT_FULL3,rank_1stsgt,427200,,,,,,30,30,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV30,ranked_up_30,
30,msgt1,427200,26800,RANK_MSGT,RANK_MSGT_FULL,rank_msgt,454000,,,,,,31,31,,RANK_MSGT_FULL,PERKS_UNLOCKED_AT_LV31,ranked_up_31,
31,msgt2,454000,28000,RANK_MSGT,RANK_MSGT_FULL2,rank_msgt,482000,,,,,,32,32,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV32,ranked_up_32,
32,msgt3,482000,29200,RANK_MSGT,RANK_MSGT_FULL3,rank_msgt,511200,,,,,,33,33,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV33,ranked_up_33,
33,sgtmaj1,511200,30400,RANK_SGTMAJ,RANK_SGTMAJ_FULL,rank_sgtmaj,541600,,,,,,34,34,,RANK_SGTMAJ_FULL,PERKS_UNLOCKED_AT_LV34,ranked_up_34,
34,sgtmaj2,541600,31600,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,rank_sgtmaj,573200,,,,,,35,35,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV35,ranked_up_35,
35,sgtmaj3,573200,32800,RANK_SGTMAJ,RANK_SGTMAJ_FULL3,rank_sgtmaj,606000,,,,,,36,36,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV36,ranked_up_36,
36,csgtmaj,606000,34000,RANK_CSM,RANK_CSM_FULL,rank_csgtmaj,640000,,,,,,37,37,,RANK_CSM_FULL,PERKS_UNLOCKED_AT_LV37,ranked_up_37,
37,csgtmaj,640000,35200,RANK_CSM,RANK_CSM_FULL2,rank_csgtmaj,675200,,,,,,38,38,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV38,ranked_up_38,
38,csgtmaj,675200,36400,RANK_CSM,RANK_CSM_FULL3,rank_csgtmaj,711600,,,,,,39,39,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV39,ranked_up_39,
39,2ndlt1,711600,37600,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt,749200,,,,,,40,40,,RANK_2NDLT_FULL,PERKS_UNLOCKED_AT_LV40,ranked_up_40,
40,2ndlt2,749200,38800,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt,788000,,,,,,41,41,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV41,ranked_up_41,
41,lt1,788000,40000,RANK_LT,RANK_LT_FULL,rank_lt,828000,,,,,,42,42,,RANK_LT_FULL,PERKS_UNLOCKED_AT_LV42,ranked_up_42,
42,lt2,828000,41200,RANK_LT,RANK_LT_FULL2,rank_lt,869200,,,,,,43,43,,RANK_LT_FULL_N,PERKS_UNLOCKED_AT_LV43,ranked_up_43,
43,cpt1,869200,42400,RANK_CPT,RANK_CPT_FULL,rank_cpt,911600,,,,,,44,44,,RANK_CPT_FULL,PERKS_UNLOCKED_AT_LV44,ranked_up_44,
44,cpt2,911600,43600,RANK_CPT,RANK_CPT_FULL2,rank_cpt,955200,,,,,,45,45,,RANK_CPT_FULL_N,PERKS_UNLOCKED_AT_LV45,ranked_up_45,
45,maj1,955200,44800,RANK_MAJ,RANK_MAJ_FULL,rank_maj,1000000,,,,,,46,46,,RANK_MAJ_FULL,PERKS_UNLOCKED_AT_LV46,ranked_up_46,
46,maj2,1000000,46000,RANK_MAJ,RANK_MAJ_FULL2,rank_maj,1046000,,,,,,47,47,,RANK_MAJ_FULL_N,PERKS_UNLOCKED_AT_LV47,ranked_up_47,
47,ltcol1,1046000,47200,RANK_LTCOL,RANK_LTCOL_FULL,rank_ltcol,1093200,,,,,,48,48,,RANK_LTCOL_FULL,PERKS_UNLOCKED_AT_LV48,ranked_up_48,
48,ltcol2,1093200,48400,RANK_LTCOL,RANK_LTCOL_FULL2,rank_ltcol,1141600,,,,,,49,49,,RANK_LTCOL_FULL_N,PERKS_UNLOCKED_AT_LV49,ranked_up_49,
49,col1,1141600,49600,RANK_COL,RANK_COL_FULL,rank_col,1191200,,,,,,50,50,,RANK_COL_FULL,PERKS_UNLOCKED_AT_LV50,ranked_up_50,
50,bgen1,1191200,50800,RANK_BGEN,RANK_BGEN_FULL,rank_bgen,1242000,,,,,,51,51,,RANK_BGEN_FULL,PERKS_UNLOCKED_AT_LV51,ranked_up_51,
51,majgen1,1242000,52000,RANK_MAJGEN,RANK_MAJGEN_FULL,rank_majgen,1294000,,,,,,52,52,,RANK_MAJGEN_FULL,PERKS_UNLOCKED_AT_LV52,ranked_up_52,
52,ltgen1,1294000,53200,RANK_LTGEN,RANK_LTGEN_FULL,rank_ltgen,1347200,,,,,,53,53,,RANK_LTGEN_FULL,PERKS_UNLOCKED_AT_LV53,ranked_up_53,
53,gen1,1347200,54400,RANK_GEN,RANK_GEN_FULL,rank_gen,1401600,,,,,,54,54,,RANK_GEN_FULL,PERKS_UNLOCKED_AT_LV54,ranked_up_54,
54,com1,1401600,55600,RANK_COM,RANK_COM_FULL,rank_com,1457200,,,,,,55,55,,RANK_COM_FULL,PERKS_UNLOCKED_AT_LV55,ranked_up_55,
55,mstr,1457200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1515650,,,,,,56,56,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
56,mstr,1515650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1574100,,,,,,57,57,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
57,mstr,1574100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1632550,,,,,,58,58,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
58,mstr,1632550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1691000,,,,,,59,59,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
59,mstr,1691000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1749450,,,,,,60,60,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
60,mstr,1749450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1807900,,,,,,61,61,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
61,mstr,1807900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1866350,,,,,,62,62,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
62,mstr,1866350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1924800,,,,,,63,63,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
63,mstr,1924800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,1983250,,,,,,64,64,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
64,mstr,1983250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2041700,,,,,,65,65,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
65,mstr,2041700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2100150,,,,,,66,66,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
66,mstr,2100150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2158600,,,,,,67,67,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
67,mstr,2158600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2217050,,,,,,68,68,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
68,mstr,2217050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2275500,,,,,,69,69,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
69,mstr,2275500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2333950,,,,,,70,70,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
70,mstr,2333950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2392400,,,,,,71,71,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
71,mstr,2392400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2450850,,,,,,72,72,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
72,mstr,2450850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2509300,,,,,,73,73,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
73,mstr,2509300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2567750,,,,,,74,74,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
74,mstr,2567750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2626200,,,,,,75,75,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
75,mstr,2626200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2684650,,,,,,76,76,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
76,mstr,2684650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2743100,,,,,,77,77,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
77,mstr,2743100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2801550,,,,,,78,78,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
78,mstr,2801550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2860000,,,,,,79,79,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
79,mstr,2860000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2918450,,,,,,80,80,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
80,mstr,2918450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,2976900,,,,,,81,81,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
81,mstr,2976900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3035350,,,,,,82,82,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
82,mstr,3035350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3093800,,,,,,83,83,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
83,mstr,3093800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3152250,,,,,,84,84,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
84,mstr,3152250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3210700,,,,,,85,85,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
85,mstr,3210700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3269150,,,,,,86,86,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
86,mstr,3269150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3327600,,,,,,87,87,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
87,mstr,3327600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3386050,,,,,,88,88,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
88,mstr,3386050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3444500,,,,,,89,89,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
89,mstr,3444500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3502950,,,,,,90,90,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
90,mstr,3502950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3561400,,,,,,91,91,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
91,mstr,3561400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3619850,,,,,,92,92,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
92,mstr,3619850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3678300,,,,,,93,93,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
93,mstr,3678300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3736750,,,,,,94,94,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
94,mstr,3736750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3795200,,,,,,95,95,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
95,mstr,3795200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3853650,,,,,,96,96,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
96,mstr,3853650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3912100,,,,,,97,97,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
97,mstr,3912100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,3970550,,,,,,98,98,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
98,mstr,3970550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4029000,,,,,,99,99,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
99,mstr,4029000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4087450,,,,,,100,100,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
100,mstr,4087450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4145900,,,,,,101,101,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
101,mstr,4145900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4204350,,,,,,102,102,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
102,mstr,4204350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4262800,,,,,,103,103,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
103,mstr,4262800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4321250,,,,,,104,104,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
104,mstr,4321250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4379700,,,,,,105,105,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
105,mstr,4379700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4438150,,,,,,106,106,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
106,mstr,4438150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4496600,,,,,,107,107,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
107,mstr,4496600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4555050,,,,,,108,108,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
108,mstr,4555050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4613500,,,,,,109,109,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
109,mstr,4613500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4671950,,,,,,110,110,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
110,mstr,4671950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4730400,,,,,,111,111,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
111,mstr,4730400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4788850,,,,,,112,112,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
112,mstr,4788850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4847300,,,,,,113,113,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
113,mstr,4847300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4905750,,,,,,114,114,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
114,mstr,4905750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,4964200,,,,,,115,115,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
115,mstr,4964200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5022650,,,,,,116,116,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
116,mstr,5022650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5081100,,,,,,117,117,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
117,mstr,5081100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5139550,,,,,,118,118,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
118,mstr,5139550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5198000,,,,,,119,119,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
119,mstr,5198000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5256450,,,,,,120,120,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
120,mstr,5256450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5314900,,,,,,121,121,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
121,mstr,5314900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5373350,,,,,,122,122,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
122,mstr,5373350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5431800,,,,,,123,123,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
123,mstr,5431800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5490250,,,,,,124,124,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
124,mstr,5490250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5548700,,,,,,125,125,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
125,mstr,5548700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5607150,,,,,,126,126,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
126,mstr,5607150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5665600,,,,,,127,127,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
127,mstr,5665600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5724050,,,,,,128,128,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
128,mstr,5724050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5782500,,,,,,129,129,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
129,mstr,5782500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,5840950,,,,,,130,130,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
